keys,q,w,e,r,t,y,u,i,o,p,å,a,s,d,f,g,h,j,k,l,ö,ä,z,x,c,v,b,n,m,<,,enter
x,566,697,828,959,1090,1221,1352,1483,1614,1745,1876,566,697,828,959,1090,1221,1352,1483,1614,1745,1876,828,959,1090,1221,1352,1483,1614,1810,1193,1737
y,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,1955,2185,2185,2185,2185,2185,2185,2185,2185,2185,2185,2185,2415,2415,2415,2415,2415,2415,2415,2415,2645,2645
