id,block,sentence_n,trialtime,x,y
121,1,38,-75.667,969.332216,1806.048152
121,1,38,-42.333,966.748428,1821.6355800000001
121,1,38,-9.0,990.828536,1854.575324
121,1,38,57.667,1006.925896,1878.006296
121,1,38,91.0,1011.208988,1874.759192
121,1,38,124.333,1396.738272,1854.969736
121,1,38,157.667,1417.402356,1855.131608
121,1,38,191.0,1430.412108,1900.845348
121,1,38,224.333,1415.35722,1895.716784
121,1,38,257.66700000000003,1424.9161159999999,1864.452536
121,1,38,291.0,1422.1780720000002,1884.105488
121,1,38,324.33299999999997,1396.508132,1883.923684
121,1,38,357.66700000000003,1395.2255679999998,1873.874332
121,1,38,391.0,1402.8923399999999,1892.353108
121,1,38,424.333,1398.168872,1881.557816
121,1,38,457.667,1389.5865159999998,1886.900196
121,1,38,491.0,1398.808288,1901.5586720000001
121,1,38,524.3330000000001,775.441132,2020.363056
121,1,38,557.6669999999999,777.758704,2033.556228
121,1,38,591.0,743.730328,2020.551504
121,1,38,624.3330000000001,753.854,2036.913864
121,1,38,657.667,791.350648,2034.279216
121,1,38,691.0,742.022316,2040.089696
121,1,38,724.333,757.311076,2039.058064
121,1,38,757.667,728.0721,2091.1113880000003
121,1,38,791.0,752.33632,2093.0611
121,1,38,824.333,739.744552,2095.905336
121,1,38,857.667,779.671976,2081.583892
121,1,38,891.0,808.781576,2085.718876
121,1,38,924.333,815.316308,2222.102076
121,1,38,957.667,829.181932,2231.2448240000003
121,1,38,991.0,817.99464,2233.344932
121,1,38,1024.333,825.765908,2226.592212
121,1,38,1057.667,844.602556,2220.953872
121,1,38,1091.0,835.284996,2224.493312
121,1,38,1124.333,1838.278656,2211.101424
121,1,38,1157.667,1828.737176,2232.746972
121,1,38,1191.0,1813.509372,2201.115492
121,1,38,1224.333,1821.1985359999999,2202.88944
121,1,38,1257.667,1819.683344,2204.2877
121,1,38,1291.0,1818.883452,2195.50252
121,1,38,1324.333,1816.59076,2202.598916
121,1,38,1357.667,1830.982596,2200.658264
121,1,38,1391.0,1819.224308,2229.111496
121,1,38,1424.333,1816.691524,2219.207708
121,1,38,1457.667,1822.774684,2252.735748
121,1,38,1491.0,1826.583812,2254.716264
121,1,38,1524.333,1811.526436,2228.996736
121,1,38,1557.667,1121.939916,1963.495852
121,1,38,1591.0,1118.752788,1956.500928
121,1,38,1624.333,1115.594272,1965.890712
121,1,38,1657.667,1097.704308,1988.2369
121,1,38,1691.0,1097.0586720000001,1960.176872
121,1,38,1724.333,1066.45876,1967.93646
121,1,38,1757.667,1090.4393479999999,1977.980376
121,1,38,1791.0,1070.9085479999999,1998.07908
121,1,38,1824.333,1097.961816,1989.8109239999999
121,1,38,1857.667,1118.8212079999998,2000.130868
121,1,38,1891.0,1106.251832,2032.245548
121,1,38,1924.333,1126.4954440000001,2038.661236
121,1,38,1957.667,1136.27826,2003.362872
121,1,38,1991.0,1156.5902919999999,2004.884348
121,1,38,2024.333,1557.388432,2226.154312
121,1,38,2057.667,1569.307196,2227.408216
121,1,38,2091.0,1581.896476,2223.163908
121,1,38,2124.333,1582.83072,2219.044024
121,1,38,2157.667,1584.711648,2187.235572
121,1,38,2191.0,1587.38998,2170.362832
121,1,38,2224.333,1581.862888,2185.674836
121,1,38,2257.667,1566.327816,2176.0543239999997
121,1,38,2291.0,1570.809948,2185.512964
121,1,38,2324.333,1538.0566720000002,2186.817604
121,1,38,2357.667,1522.641024,2202.465432
121,1,38,2391.0,1464.970428,2226.932264
121,1,38,2424.333,1470.0832679999999,2201.049656
121,1,38,2457.667,1470.6020159999998,2234.425488
121,1,38,2491.0,1479.551352,2247.2031079999997
121,1,38,2524.333,1469.2908400000001,2238.146128
121,1,38,2557.667,1500.482896,2258.552268
121,1,38,2591.0,1502.305356,2235.546512
121,1,38,2624.333,1509.960932,2236.34198
121,1,38,2657.667,1659.290692,2243.7289
121,1,38,2691.0,1652.701224,2228.104628
121,1,38,2724.333,1661.761276,2220.458592
121,1,38,2757.667,1623.191056,2207.977536
121,1,38,2791.0,1636.464536,2208.574892
121,1,38,2824.333,1646.552132,2220.297928
121,1,38,2857.667,1649.2752480000001,2227.2970800000003
121,1,38,2891.0,1620.917024,2218.986644
121,1,38,2924.333,1613.892156,2216.897408
121,1,38,2957.667,1615.7929880000002,2210.079456
121,1,38,2991.0,1619.126908,2215.088428
