id,block,sentence_n,trialtime,x,y
131,1,43,-50.667,1604.711436,1796.502536
131,1,43,-17.333,1588.96364,1802.372812
131,1,43,16.0,1579.087524,1791.240488
131,1,43,49.333,1579.3039800000001,1762.046148
131,1,43,82.667,1556.168068,1755.512076
131,1,43,116.0,1538.983452,1755.110416
131,1,43,149.333,1541.0609319999999,1766.516352
131,1,43,182.667,1552.8018040000002,1781.455688
131,1,43,216.0,1551.352544,1780.773772
131,1,43,249.333,1548.598328,1816.1875
131,1,43,282.66700000000003,1557.221736,1798.902832
131,1,43,316.0,1552.933668,1811.23168
131,1,43,349.33299999999997,1566.448484,1810.776264
131,1,43,382.667,1525.4313160000002,1808.5016
131,1,43,416.0,1508.160864,1791.460344
131,1,43,449.333,1518.12406,1804.509764
131,1,43,482.667,1511.346748,1780.209032
131,1,43,516.0,1501.134752,1776.49866
131,1,43,549.3330000000001,1526.559624,1771.951144
131,1,43,582.6669999999999,820.2126920000001,1804.272996
131,1,43,616.0,839.449908,1794.868716
131,1,43,649.333,789.291828,1820.5477759999999
131,1,43,682.667,758.647132,1813.065424
131,1,43,716.0,759.065116,1813.4393
131,1,43,749.333,777.842052,1810.34984
131,1,43,782.667,756.592044,1818.793156
131,1,43,816.0,728.707784,1832.089612
131,1,43,849.333,758.735456,1865.690132
131,1,43,882.667,762.7498439999999,1871.30552
131,1,43,916.0,527.1001679999999,706.6588279999999
131,1,43,949.333,553.593636,709.758556
131,1,43,982.667,564.170124,715.447028
131,1,43,1016.0,569.168516,727.826008
131,1,43,1049.333,583.07768,501.9058480000001
131,1,43,1082.667,588.93692,503.9310599999999
131,1,43,1116.0,586.577052,506.9873
131,1,43,1149.333,620.370312,510.3443319999999
131,1,43,1182.667,639.825228,518.6300040000001
131,1,43,1216.0,659.810088,519.697876
131,1,43,1249.333,672.386928,521.142644
131,1,43,1282.667,678.6741039999999,519.65922
131,1,43,1316.0,698.3579159999999,407.587624
131,1,43,1349.333,698.009596,409.20151199999987
131,1,43,1382.667,696.615072,421.20118
131,1,43,1416.0,1688.984972,2602.933136
131,1,43,1449.333,1666.754692,2564.3900839999997
131,1,43,1482.667,1661.932948,2569.954736
131,1,43,1516.0,1529.086188,2284.312868
131,1,43,1549.333,1535.118344,2287.288776
131,1,43,1582.667,1534.032332,2305.700508
131,1,43,1616.0,1531.006924,2311.847416
131,1,43,1649.333,1543.7641440000002,2312.519064
131,1,43,1682.667,1517.90636,2322.267624
131,1,43,1716.0,1509.607636,2319.714516
131,1,43,1749.333,1516.700924,2326.031148
131,1,43,1782.667,1516.6437,2331.438156
131,1,43,1816.0,1511.881668,2341.802192
131,1,43,1849.333,1493.820032,2339.02198
131,1,43,1882.667,1524.7384080000002,2337.68714
131,1,43,1916.0,1539.946308,2336.007416
131,1,43,1949.333,1545.1263239999998,2339.688192
131,1,43,1982.667,1534.267448,2349.871028
131,1,43,2016.0,1534.90562,2331.059448
131,1,43,2049.333,1538.387576,2339.087816
131,1,43,2082.667,1549.5387919999998,2350.505832
131,1,43,2116.0,1544.3625080000002,2273.680052
131,1,43,2149.333,1567.646456,2273.330336
131,1,43,2182.667,1764.246972,2031.741208
131,1,43,2216.0,1762.461832,2027.849636
131,1,43,2249.333,1764.623904,2055.552096
131,1,43,2282.667,1770.7307,2057.330272
131,1,43,2316.0,1774.876952,2072.529328
131,1,43,2349.333,1728.68972,2045.77998
131,1,43,2382.667,1750.388812,2046.341096
131,1,43,2416.0,1607.3549360000002,2009.371464
131,1,43,2449.333,1605.573528,2005.827192
131,1,43,2482.667,1612.496388,2010.548056
131,1,43,2516.0,1608.428508,2010.051568
131,1,43,2549.333,1625.359348,2012.053224
