id,block,sentence_n,trialtime,x,y
117,1,06,-72.0,1091.675884,1862.20928
117,1,06,-38.667,1086.403812,1854.716056
117,1,06,-5.332999999999998,1081.838332,1866.033808
117,1,06,28.0,1101.16014,1871.832812
117,1,06,61.333,1095.246164,1891.764208
117,1,06,94.667,1145.722708,1866.510364
117,1,06,128.0,1155.17462,1881.173672
117,1,06,161.333,1148.485632,1881.050456
117,1,06,194.667,1347.03052,1837.1710640000001
117,1,06,228.0,1342.647908,1845.373988
117,1,06,261.33299999999997,1336.66178,1859.081768
117,1,06,294.66700000000003,1384.7573080000002,1869.537008
117,1,06,328.0,1379.38074,1866.231316
117,1,06,361.33299999999997,1384.670228,1862.60792
117,1,06,394.667,1390.768316,1872.587812
117,1,06,428.0,1387.80262,1887.7162
117,1,06,461.333,1390.90018,1888.735148
117,1,06,494.667,1382.5019360000001,1886.03708
117,1,06,528.0,1380.6670359999998,1880.961668
117,1,06,561.3330000000001,1376.93628,1899.921228
117,1,06,594.6669999999999,1421.339616,1915.890988
117,1,06,628.0,1391.894136,1912.66442
117,1,06,661.333,1366.420748,1871.19076
117,1,06,694.667,1367.0166239999999,1876.087992
117,1,06,728.0,1528.08228,1893.861296
117,1,06,761.333,1524.709796,1894.21524
117,1,06,794.667,1531.3913200000002,1886.731076
117,1,06,828.0,1534.340844,1886.75584
117,1,06,928.0,1529.097384,1912.735692
117,1,06,961.333,1543.6696,1914.31032
117,1,06,994.667,655.021932,554.047356
117,1,06,1028.0,652.456804,556.0816279999999
117,1,06,1061.333,657.834616,537.6843919999999
117,1,06,1094.667,662.385168,548.6922920000002
117,1,06,1128.0,663.542088,553.1769920000002
117,1,06,1161.333,591.72348,402.245848
117,1,06,1194.667,573.522516,415.37318400000004
117,1,06,1228.0,566.218992,419.74856
117,1,06,1261.333,579.280992,438.5522880000001
117,1,06,1294.667,598.286824,461.2735600000001
117,1,06,1328.0,605.609008,468.314388
117,1,06,1361.333,606.248424,420.74153599999977
117,1,06,1394.667,609.347228,425.99694
117,1,06,1428.0,604.46204,430.87484399999994
117,1,06,1461.333,1269.035452,2129.762556
117,1,06,1494.667,1270.6165760000001,2133.0452960000002
117,1,06,1528.0,1281.1482799999999,2137.700324
117,1,06,1561.333,1283.763168,2147.053264
117,1,06,1594.667,1286.815944,2146.707172
117,1,06,1628.0,1294.554868,2149.917432
117,1,06,1661.333,1291.030616,2151.524676
117,1,06,1694.667,1300.207604,2150.0744720000002
117,1,06,1728.0,1294.8758200000002,2150.265336
117,1,06,1761.333,1275.684632,2107.811384
117,1,06,1794.667,1275.4942999999998,2113.080076
117,1,06,1828.0,1511.652772,2008.548816
117,1,06,1861.333,1512.935336,2010.698452
117,1,06,1894.667,1472.5575840000001,2016.653288
117,1,06,1928.0,1493.6533359999999,2007.29008
117,1,06,1961.333,1475.5705520000001,2007.868712
117,1,06,1994.667,1491.473848,2012.648768
117,1,06,2028.0,1501.62862,2012.954996
117,1,06,2061.333,1488.895036,2013.8712639999999
117,1,06,2094.667,1489.765836,2010.6151
117,1,06,2128.0,1500.669496,2005.048636
117,1,06,2161.333,1488.225764,2009.94768
117,1,06,2194.667,1477.141724,2007.232096
117,1,06,2228.0,1475.478496,2009.949492
117,1,06,2261.333,1463.211412,2006.952444
117,1,06,2294.667,1469.891692,2006.1128840000001
117,1,06,2328.0,1477.987644,2014.569488
117,1,06,2361.333,1393.180432,1939.726036
117,1,06,2394.667,872.83638,1866.188432
117,1,06,2428.0,878.443088,1862.252768
117,1,06,2461.333,866.1424159999999,1870.427304
117,1,06,2494.667,862.277308,1874.344848
117,1,06,2528.0,861.6503319999999,1869.658412
117,1,06,2561.333,873.009296,1854.64418
117,1,06,2594.667,858.960804,1862.021436
117,1,06,2628.0,851.366184,1847.86126
117,1,06,2661.333,857.492884,1848.372244
117,1,06,2694.667,867.857892,1848.584852
117,1,06,2728.0,887.4907000000001,1851.160912
117,1,06,2761.333,891.0037560000001,1850.33162
117,1,06,2794.667,908.266744,1870.667696
117,1,06,2828.0,916.5020239999999,1866.58828
117,1,06,2861.333,907.709432,1860.797732
117,1,06,2894.667,895.7433960000001,1861.859564
117,1,06,2928.0,1555.378128,2403.771988
117,1,06,2961.333,1575.152752,2398.34082
117,1,06,2994.667,1585.992968,2395.457928
117,1,06,3028.0,1595.446124,2374.581272
117,1,06,3061.333,1562.063384,2355.555876
117,1,06,3094.667,1556.421844,2338.495896
117,1,06,3128.0,1534.42668,2351.47948
117,1,06,3161.333,1470.405464,2331.85552
117,1,06,3194.667,1473.398528,2322.482044
117,1,06,3228.0,1475.439932,2351.844296
117,1,06,3261.333,1459.1211400000002,2330.489272
117,1,06,3294.667,1440.533292,2344.020684
117,1,06,3328.0,1310.762944,2298.551564
117,1,06,3361.333,868.8866800000001,1841.616504
117,1,06,3394.667,867.077904,1849.653932
117,1,06,3428.0,872.80528,1847.892668
117,1,06,3461.333,874.6663040000001,1838.745692
117,1,06,3494.667,864.509044,1837.61138
117,1,06,3528.0,857.8237879999999,1846.810904
117,1,06,3561.333,853.029412,1825.61594
117,1,06,3594.667,850.98552,1826.91756
117,1,06,3628.0,846.632764,1825.106164
117,1,06,3661.333,839.67134,1822.486012
117,1,06,3694.667,856.2040999999999,1845.29728
117,1,06,3728.0,860.020692,1857.309632
117,1,06,3761.333,850.0774,1860.228764
117,1,06,3794.667,844.901116,373.54558
117,1,06,3828.0,832.852976,368.307088
117,1,06,3861.333,814.3559399999999,397.01037599999995
117,1,06,3894.667,813.406768,388.934896
117,1,06,3928.0,831.457208,383.17877599999997
117,1,06,3961.333,840.870556,404.5005800000001
117,1,06,3994.667,845.6524919999999,409.2921120000001
117,1,06,4028.0,831.712228,353.9747719999998
117,1,06,4061.333,836.112256,371.308364
117,1,06,4094.667,924.682568,405.15954399999987
117,1,06,4128.0,934.971692,402.54905600000006
117,1,06,4161.3330000000005,922.7581,384.09021200000007
117,1,06,4194.6669999999995,934.859732,407.30797200000006
117,1,06,4228.0,959.672556,406.217752
117,1,06,4261.333,974.30324,402.6209319999998
117,1,06,4294.667,990.634472,427.25929999999994
117,1,06,4328.0,1278.780948,2181.219732
117,1,06,4361.333,1263.213532,2171.945916
117,1,06,4394.667,1267.099788,2168.196284
117,1,06,4428.0,1277.362788,2171.1848760000003
117,1,06,4461.333,1229.237404,2146.422688
117,1,06,4494.667,1230.459012,2155.009756
117,1,06,4528.0,1224.783884,2148.093352
117,1,06,4561.333,1522.400932,1918.802872
117,1,06,4594.667,1508.815208,1921.581272
117,1,06,4628.0,1495.8477520000001,1924.243704
117,1,06,4661.333,1496.19234,1911.086772
117,1,06,4728.0,1554.36178,1917.968748
117,1,06,4761.333,1550.56758,1916.975772
117,1,06,4794.667,1550.560116,1919.555456
117,1,06,4828.0,1548.009916,1932.746816
117,1,06,4861.333,1551.2418280000002,1933.353836
117,1,06,4894.667,1518.935148,1919.217216
117,1,06,4928.0,1582.2286239999999,1914.31334
117,1,06,4961.333,1566.7458000000001,1930.698652
117,1,06,4994.667,1589.7075519999999,1939.851668
117,1,06,5028.0,1516.6909719999999,1985.351592
117,1,06,5061.333,1513.8596280000002,1991.128248
117,1,06,5094.667,1513.501356,1996.377008
117,1,06,5128.0,1515.28152,1994.031676
117,1,06,5161.333,1499.641952,1992.1182039999999
117,1,06,5194.667,1502.019236,2003.78386
117,1,06,5228.0,822.677056,1919.274596
117,1,06,5261.333,827.303492,1942.82214
117,1,06,5294.667,834.348264,1940.938264
117,1,06,5328.0,819.983796,1921.475572
117,1,06,5361.333,827.085792,1945.602352
117,1,06,5394.667,845.266852,1951.766172
117,1,06,5428.0,806.192812,1890.3134
117,1,06,5461.333,809.888736,1892.405052
117,1,06,5494.667,805.700188,1883.933952
117,1,06,5528.0,806.849644,1884.887668
117,1,06,5561.333,797.951312,1880.778656
117,1,06,5594.667,799.03608,1892.79886
117,1,06,5628.0,803.3614680000001,1865.529468
117,1,06,5661.333,801.3748,1868.110964
117,1,06,5694.667,562.615124,1970.158576
117,1,06,5728.0,540.142264,1985.907876
117,1,06,5761.333,532.731756,1955.486208
117,1,06,5794.667,529.935244,1953.104032
117,1,06,5828.0,526.835196,1912.62516
117,1,06,5861.333,512.99694,1874.317668
117,1,06,5894.667,530.69906,1896.432524
117,1,06,5928.0,1132.923192,462.61444000000006
117,1,06,5961.333,1107.949892,463.8616999999999
117,1,06,5994.667,1116.777316,467.0290759999998
117,1,06,6028.0,1095.8594560000001,483.1039320000002
117,1,06,6061.333,1102.93284,502.82815600000004
117,1,06,6094.667,1126.041384,497.1855879999998
117,1,06,6128.0,1136.344192,528.4419839999998
117,1,06,6161.333,1157.80568,545.720008
117,1,06,6194.667,1165.77972,534.2415919999999
117,1,06,6228.0,1179.07186,540.04422
117,1,06,6261.333,1143.950008,413.72426399999995
117,1,06,6294.667,1137.807136,411.92796799999996
117,1,06,6328.0,1196.33858,2083.921976
117,1,06,6361.333,1191.784296,2094.645392
117,1,06,6394.667,1202.430448,2091.1627280000002
117,1,06,6428.0,1196.757808,2092.887752
117,1,06,6461.333,1177.219544,2072.823476
117,1,06,6494.667,1176.97572,2077.975596
117,1,06,6528.0,788.036632,2101.678368
117,1,06,6561.333,758.280152,2101.225972
117,1,06,6594.667,777.416604,2109.993636
117,1,06,6628.0,766.927196,2101.602264
117,1,06,6661.333,755.093024,2112.0200560000003
117,1,06,6694.667,750.1580759999999,2122.490396
117,1,06,6728.0,771.750184,2118.732912
117,1,06,6761.333,778.829788,2124.165288
117,1,06,6794.667,780.05886,2110.7347440000003
117,1,06,6828.0,1078.056572,2375.1895
117,1,06,6861.333,1082.414304,2386.588792
117,1,06,6928.0,1095.3631,2387.211516
117,1,06,6961.333,1086.581704,2378.922824
117,1,06,6994.667,1104.230332,2368.961052
117,1,06,7028.0,1108.46864,2354.2609
117,1,06,7061.333,1087.417672,2361.551784
117,1,06,7094.667,1256.142636,2396.233464
117,1,06,7128.0,1257.125396,2396.476272
117,1,06,7161.333,1247.45454,2402.333864
117,1,06,7194.667,1257.899164,2398.146936
117,1,06,7228.0,1283.790536,2387.626464
117,1,06,7261.333,1276.423568,2398.891064
117,1,06,7294.667,693.0423040000001,2116.827292
117,1,06,7328.0,692.305856,2125.0731
117,1,06,7361.333,690.96358,2139.9919
117,1,06,7394.667,692.38796,2141.146748
117,1,06,7428.0,696.66732,2133.1340840000003
117,1,06,7461.333,694.093484,2141.3358
117,1,06,7494.667,683.30054,2133.837744
117,1,06,7528.0,697.011908,2125.5321400000003
117,1,06,7561.333,693.6182759999999,2121.191796
117,1,06,7594.667,676.86284,2129.337944
117,1,06,7628.0,696.106276,2146.7657600000002
117,1,06,7661.333,689.513076,2156.281176
117,1,06,7694.667,685.4501720000001,2147.74122
117,1,06,7728.0,679.287396,2116.432276
117,1,06,7761.333,658.786276,2095.133424
117,1,06,7794.667,654.93112,2090.083984
117,1,06,7828.0,654.409884,2095.227648
117,1,06,7861.333,1111.760264,1924.598252
117,1,06,7894.667,1122.0879519999999,1924.879112
117,1,06,7928.0,1100.443596,1926.781108
117,1,06,7961.333,1098.337504,1937.910412
117,1,06,7994.667,1104.255212,1939.752612
117,1,06,8028.0,1074.630596,1910.759404
117,1,06,8061.333,1086.9586359999998,1906.309736
117,1,06,8094.667,1087.778432,1904.823896
117,1,06,8128.0,1079.553104,1909.071828
117,1,06,8161.333,1071.560404,1897.143432
117,1,06,8194.667000000001,1059.71628,1905.879688
117,1,06,8228.0,1060.283544,1907.794972
117,1,06,8261.332999999999,1082.124452,1951.388068
117,1,06,8294.667000000001,1081.215088,1969.11426
117,1,06,8328.0,1096.47648,1946.730624
117,1,06,8361.333,1341.421324,1931.610692
117,1,06,8394.667,1336.396808,1935.3869
117,1,06,8428.0,1323.522652,1930.744556
117,1,06,8494.667,1310.866196,1914.0204
117,1,06,8528.0,1304.8614080000002,1928.459624
117,1,06,8561.333,1308.633216,1919.769876
117,1,06,8594.667,1301.503852,1899.641576
117,1,06,8728.0,1304.6511719999999,782.0603759999999
117,1,06,8761.333,1304.723324,779.731352
117,1,06,8794.667,1317.521596,774.64084
117,1,06,8828.0,1320.840588,785.75746
117,1,06,8894.667,1508.760472,601.4975959999999
117,1,06,8928.0,1477.8159719999999,616.6368560000001
117,1,06,8961.333,1436.563688,584.4237240000002
117,1,06,8994.667,1433.877892,594.47066
117,1,06,9028.0,1534.15922,419.783592
117,1,06,9061.333,1540.013484,430.3143319999999
117,1,06,9094.667,1567.2919160000001,432.64879199999996
117,1,06,9128.0,1561.04828,501.6400879999999
117,1,06,9161.333,1572.6237,509.9390480000002
117,1,06,9194.667,1566.245712,447.08741199999986
117,1,06,9228.0,1559.880164,465.90684399999986
117,1,06,9261.333,1560.240924,457.2623960000001
117,1,06,9328.0,1633.38688,418.430028
117,1,06,9361.333,1690.32476,400.67544799999996
117,1,06,9394.667,1663.097332,407.754328
117,1,06,9428.0,1735.804156,393.7149519999998
117,1,06,9461.333,1630.810556,413.03207999999995
