id,block,sentence_n,trialtime,x,y
108,1,09,-68.0,1140.3871920000001,1574.611056
108,1,09,-34.667,1136.8330839999999,1569.606312
108,1,09,-1.3329999999999984,1142.576632,1595.28658
108,1,09,32.0,1158.134096,1618.041072
108,1,09,65.333,1173.10066,1630.0467800000001
108,1,09,98.667,1167.841028,1633.920836
108,1,09,132.0,1192.708588,1598.797028
108,1,09,165.333,1184.1996279999998,1606.157976
108,1,09,198.667,1192.964852,1613.724888
108,1,09,232.0,1359.033876,1606.88942
108,1,09,265.33299999999997,1365.712912,1598.98306
108,1,09,298.66700000000003,1359.4842039999999,1592.781792
108,1,09,332.0,1360.4445719999999,1592.715956
108,1,09,365.33299999999997,1341.447448,1575.619132
108,1,09,398.667,1340.036752,1566.057812
108,1,09,432.0,1337.703008,1557.010496
108,1,09,465.333,1348.350404,1569.569468
108,1,09,498.667,1359.362292,1641.350036
108,1,09,532.0,1366.490412,1631.84368
108,1,09,565.3330000000001,1366.873564,1636.97466
108,1,09,598.6669999999999,1378.6766360000001,1654.347512
108,1,09,632.0,1601.642488,1862.741404
108,1,09,665.333,1610.415176,1879.359256
108,1,09,698.667,1612.124432,1895.319352
108,1,09,732.0,1634.392032,1900.808504
108,1,09,765.333,1620.7789400000001,1903.922728
108,1,09,798.667,1619.28614,1911.280656
108,1,09,832.0,1619.532452,1896.16616
108,1,09,865.333,1618.236204,1897.945544
108,1,09,898.667,1607.912248,1884.432252
108,1,09,932.0,1544.144808,1841.454632
108,1,09,965.333,1524.531904,1829.543752
108,1,09,998.667,894.571548,1591.157636
108,1,09,1032.0,904.369292,1596.80262
108,1,09,1065.333,887.812896,1606.142272
108,1,09,1098.667,857.532692,1619.965416
108,1,09,1132.0,846.254588,1603.099924
108,1,09,1165.333,847.463756,1603.9406920000001
108,1,09,1198.667,828.3409879999999,1595.752868
108,1,09,1232.0,822.719352,1595.363288
108,1,09,1265.333,804.666424,1600.165088
108,1,09,1298.667,883.825876,1606.252804
108,1,09,1332.0,880.489468,1612.625004
108,1,09,1365.333,1115.958764,1565.584276
108,1,09,1398.667,1120.3413759999999,1562.110672
108,1,09,1432.0,1114.416204,1563.65208
108,1,09,1465.333,1108.522132,1564.291716
108,1,09,1498.667,1113.54416,1582.640028
108,1,09,1532.0,1146.9194360000001,1610.559324
108,1,09,1565.333,1174.389444,1640.410816
108,1,09,1598.667,1195.483952,1649.616984
108,1,09,1632.0,1193.87546,1662.790224
108,1,09,1665.333,1185.153776,1660.292684
108,1,09,1698.667,1168.209252,1663.285504
108,1,09,1732.0,1173.699024,1670.069028
108,1,09,1765.333,1187.2213040000001,1676.920804
108,1,09,1798.667,1198.168504,1694.168024
108,1,09,1832.0,1141.34134,1625.103644
108,1,09,1865.333,1573.678612,1922.034272
108,1,09,1898.667,1563.3061400000001,1893.800896
108,1,09,1932.0,1562.0808,1894.859708
108,1,09,1965.333,1559.488304,1891.993124
108,1,09,1998.667,1542.416892,1871.974752
108,1,09,2032.0,1546.395204,1852.85332
108,1,09,2065.333,1538.30796,1857.097628
108,1,09,2098.667,1547.820828,1887.67392
108,1,09,2132.0,729.114572,376.738928
108,1,09,2165.333,734.943956,386.7755960000002
108,1,09,2198.667,730.409576,356.523048
108,1,09,2232.0,726.922644,371.00515600000017
108,1,09,2265.333,715.083496,382.443708
108,1,09,2298.667,709.491716,146.21689200000014
108,1,09,2332.0,710.7183,158.151932
108,1,09,2365.333,713.743708,174.7226720000001
108,1,09,2398.667,720.988764,189.021164
108,1,09,2432.0,736.349676,190.63807199999997
108,1,09,2465.333,737.958168,190.595188
108,1,09,2498.667,737.343632,196.31627600000002
108,1,09,2532.0,691.754764,68.38182800000004
108,1,09,2565.333,691.979928,51.787532000000056
108,1,09,2598.667,1313.748544,2271.852952
108,1,09,2632.0,1318.656124,2257.169108
108,1,09,2665.333,1301.694184,2251.462516
108,1,09,2698.667,1305.3963279999998,2241.353368
108,1,09,2732.0,1305.737184,2251.458892
108,1,09,2765.333,1305.3403480000002,2245.261852
108,1,09,2798.667,1303.663436,2249.873996
108,1,09,2832.0,1317.313848,2230.43788
108,1,09,2865.333,1312.891428,2232.0777399999997
108,1,09,2898.667,1610.843112,1952.163
108,1,09,2932.0,1610.800816,1931.126284
108,1,09,2965.333,1592.961856,1927.457588
108,1,09,2998.667,1615.041612,1939.176396
108,1,09,3032.0,1624.178792,1932.619372
108,1,09,3065.333,1616.248292,1944.733196
108,1,09,3098.667,1610.743592,1945.362564
108,1,09,3132.0,1620.783916,1947.613672
108,1,09,3165.333,1608.995772,1947.948288
108,1,09,3198.667,1611.621856,1948.383168
108,1,09,3232.0,1641.588572,1938.1653000000001
108,1,09,3265.333,1633.0174120000001,1934.623444
108,1,09,3298.667,686.350828,1888.098532
108,1,09,3332.0,674.534072,1869.20662
108,1,09,3365.333,681.762956,1857.813972
108,1,09,3398.667,689.4098240000001,1862.570472
108,1,09,3432.0,672.715344,1870.43576
108,1,09,3465.333,685.494956,1879.438984
108,1,09,3498.667,651.686768,1858.190868
108,1,09,3532.0,634.182444,1836.471632
108,1,09,3565.333,608.099496,1832.255712
108,1,09,3598.667,619.766972,1830.66236
108,1,09,3632.0,630.528816,1844.1466599999999
108,1,09,3665.333,673.257728,1824.532364
108,1,09,3698.667,661.5467120000001,1830.373044
108,1,09,3732.0,675.6064,1836.890204
108,1,09,3765.333,687.780184,1832.857296
108,1,09,3798.667,713.650408,1828.793584
108,1,09,3832.0,792.725268,1910.972616
108,1,09,3865.333,801.806468,1910.50814
108,1,09,3898.667,1547.222464,2259.75604
108,1,09,3932.0,1555.6194639999999,2269.52272
108,1,09,3965.333,1572.265428,2259.190092
108,1,09,3998.667,1567.650188,2264.30718
108,1,09,4032.0,1554.290872,2249.535756
108,1,09,4065.333,1554.4675200000001,2258.971444
108,1,09,4098.6669999999995,1560.318052,2257.619088
108,1,09,4132.0,1561.1788999999999,2255.233892
108,1,09,4165.3330000000005,1559.222088,2239.271984
108,1,09,4198.6669999999995,1558.2679400000002,2249.848628
108,1,09,4232.0,1585.052504,2221.16044
108,1,09,4265.333,1587.873896,2221.1465479999997
108,1,09,4298.667,1580.1088479999999,2214.376916
