id,block,sentence_n,trialtime,x,y
101,1,08,-71.333,812.186404,1385.055924
101,1,08,-38.0,817.29178,1399.710172
101,1,08,-4.667000000000002,827.97152,1401.1978239999999
101,1,08,28.667,898.1057519999999,1576.238232
101,1,08,62.0,907.012792,1537.443916
101,1,08,95.333,897.477532,1545.131024
101,1,08,128.667,811.260868,1432.126248
101,1,08,162.0,816.932264,1477.0505600000001
101,1,08,195.333,821.791328,1504.7651
101,1,08,328.66700000000003,1712.08232,1854.273324
101,1,08,362.0,1699.129792,1844.244508
101,1,08,395.333,1674.348068,1840.647688
101,1,08,428.667,1670.496644,1841.920316
101,1,08,462.0,1668.96528,1852.779632
101,1,08,495.333,1669.632064,1858.273616
101,1,08,528.6669999999999,1503.013192,2040.006948
101,1,08,562.0,1512.3817560000002,2046.765708
101,1,08,628.6669999999999,1503.145056,2014.257824
101,1,08,662.0,1493.05746,2005.777664
101,1,08,695.333,1497.513468,1982.661376
101,1,08,728.667,1496.81434,1986.792132
101,1,08,795.333,549.319252,536.891944
101,1,08,828.667,549.559344,535.6199200000001
101,1,08,895.333,544.798556,432.83421999999996
101,1,08,928.667,528.26082,422.148856
101,1,08,962.0,519.771764,463.8701560000002
101,1,08,995.333,518.129684,472.69580399999995
101,1,08,1028.667,521.446188,419.94063200000005
101,1,08,1062.0,528.505888,370.1662000000001
101,1,08,1095.333,542.140128,372.97661199999993
101,1,08,1128.667,552.233944,361.64980000000014
101,1,08,1162.0,1152.4005000000002,2530.896472
101,1,08,1195.333,1148.647352,2533.403072
101,1,08,1228.667,1140.917136,2509.194148
101,1,08,1262.0,1111.4840960000001,2496.46666
101,1,08,1295.333,1116.636744,2521.628092
101,1,08,1328.667,1154.311284,2522.0472680000003
101,1,08,1362.0,1140.015236,2497.494064
101,1,08,1395.333,1539.157612,1770.607244
101,1,08,1428.667,1548.37192,1755.517512
101,1,08,1462.0,1542.085988,1730.145284
101,1,08,1495.333,1538.330352,1732.656716
101,1,08,1528.667,1525.025772,1743.117392
101,1,08,1562.0,1513.791208,1748.936328
101,1,08,1595.333,1519.387964,1770.322156
101,1,08,1628.667,1520.660576,1763.2921999999999
101,1,08,1662.0,1517.7944,1742.304408
101,1,08,1695.333,1518.6067320000002,1745.179448
101,1,08,1728.667,1515.38726,1744.262576
101,1,08,1762.0,1381.743096,2128.7424
101,1,08,1795.333,1396.147372,2104.76964
101,1,08,1828.667,1389.5168520000002,2105.5222240000003
101,1,08,1862.0,1369.905192,2106.2421919999997
101,1,08,1895.333,1365.605928,2107.38194
101,1,08,1928.667,1381.9595519999998,2133.69822
101,1,08,1962.0,1398.1004520000001,2174.457348
101,1,08,1995.333,1406.56214,2163.207848
101,1,08,2062.0,1395.539056,2158.125188
101,1,08,2095.333,1384.122868,2138.443244
101,1,08,2128.667,524.530064,2036.851048
101,1,08,2162.0,522.701384,2036.954936
101,1,08,2195.333,538.76018,2045.96722
101,1,08,2228.667,545.816148,2048.575292
