id,block,sentence_n,trialtime,x,y
122,1,30,-78.0,1425.81926,2028.7804
122,1,30,-44.667,1404.213468,2016.568728
122,1,30,-11.332999999999998,1444.009028,2014.90652
122,1,30,22.0,1439.075324,2044.80754
122,1,30,55.333,1455.027136,2056.5354079999997
122,1,30,88.667,1413.8644199999999,2033.475292
122,1,30,122.0,1435.6978640000002,2031.626448
122,1,30,155.333,1398.502264,2059.03476
122,1,30,255.333,1436.317376,2079.050112
122,1,30,288.66700000000003,1450.17056,2036.60522
122,1,30,322.0,521.940056,726.6874679999999
122,1,30,355.33299999999997,517.5562,761.7303400000001
122,1,30,388.667,525.97186,749.4933000000001
122,1,30,422.0,529.618024,739.76286
122,1,30,455.333,597.709608,655.0192439999998
122,1,30,488.667,600.380476,636.66308
122,1,30,522.0,601.343332,635.879692
122,1,30,555.3330000000001,714.532404,607.39626
122,1,30,588.6669999999999,743.053592,604.8721440000002
122,1,30,622.0,742.495036,603.492608
122,1,30,655.333,741.626724,605.8240480000002
122,1,30,688.667,717.780488,606.1200079999999
122,1,30,722.0,718.504496,602.7726400000001
122,1,30,755.333,718.942384,606.2094
122,1,30,788.667,725.564196,602.8179399999999
122,1,30,822.0,732.193472,610.31962
122,1,30,855.333,795.693452,525.3416520000001
122,1,30,888.667,770.105616,554.7727600000001
122,1,30,922.0,773.21064,578.8331000000001
122,1,30,955.333,1246.746704,2033.478312
122,1,30,988.667,1294.355828,2035.798276
122,1,30,1022.0,1277.772064,2030.212484
122,1,30,1055.333,1333.451016,2074.1697919999997
122,1,30,1088.667,1303.6709,2009.60944
122,1,30,1122.0,1308.1915960000001,2053.685132
122,1,30,1155.333,1274.087336,2024.492604
122,1,30,1188.667,1133.75916,2085.267084
122,1,30,1555.333,587.696652,2127.800764
122,1,30,1588.667,574.951872,2129.5414920000003
122,1,30,1622.0,532.356068,2078.8012639999997
122,1,30,1655.333,829.764124,633.9281679999999
122,1,30,1688.667,800.086016,632.0340239999998
122,1,30,1722.0,775.699884,592.7172480000002
122,1,30,1755.333,808.333736,591.215704
122,1,30,1788.667,770.476328,590.1043439999999
122,1,30,1822.0,818.6353,626.019996
122,1,30,2055.333,1383.2135039999998,2340.853912
122,1,30,2088.667,1389.217048,2353.500464
122,1,30,2122.0,1367.4557559999998,2340.730092
122,1,30,2155.333,1324.199388,2359.169608
122,1,30,2188.667,1332.845188,2397.953052
122,1,30,2222.0,1330.0424560000001,2474.064904
122,1,30,2255.333,1359.515304,2461.960744
122,1,30,2288.667,1413.0471120000002,2484.2266
122,1,30,2322.0,1420.120496,2420.58916
122,1,30,2355.333,1400.950456,2383.202164
122,1,30,2388.667,851.2641759999999,735.9606800000001
122,1,30,2422.0,836.695692,690.405792
122,1,30,2455.333,827.85334,675.3861240000001
122,1,30,2488.667,818.02574,634.1770160000001
122,1,30,2722.0,1740.64456,2360.85356
122,1,30,2755.333,1723.833144,2299.745068
122,1,30,2788.667,1715.457292,2279.018204
122,1,30,2955.333,1410.63624,2288.848304
122,1,30,3155.333,1319.036788,2297.712608
122,1,30,3422.0,918.471276,2097.774112
122,1,30,3722.0,694.097216,2129.2050639999998
122,1,30,3755.333,693.807364,2099.779996
122,1,30,3788.667,710.784232,2120.0991599999998
122,1,30,3988.667,815.4332440000001,1933.817104
122,1,30,4022.0,736.8199079999999,1951.07278
122,1,30,4055.333,921.397164,620.2759560000002
122,1,30,4088.667,911.305836,634.2452679999999
122,1,30,4122.0,953.880492,599.8818959999999
122,1,30,4155.3330000000005,980.5879279999999,616.9304
122,1,30,4455.333,1106.550392,2385.180868
122,1,30,4488.667,1114.04176,2324.4988
122,1,30,4588.667,1252.827376,2068.93734
122,1,30,4622.0,1224.476616,2074.064092
122,1,30,4655.333,1252.282504,2098.404688
122,1,30,4688.667,1245.323568,2071.097244
122,1,30,4722.0,1217.186776,2087.0573400000003
122,1,30,4788.667,1208.900492,2088.877192
122,1,30,4822.0,1196.920772,2086.7360120000003
122,1,30,4855.333,1497.680164,1895.98194
122,1,30,4922.0,1533.175216,1894.746156
122,1,30,4955.333,1512.840792,1897.595224
122,1,30,4988.667,1525.798296,1864.0696
122,1,30,5088.667,1401.2925559999999,1617.281844
122,1,30,5122.0,1428.415488,1618.295356
122,1,30,5155.333,1291.477212,2401.17358
122,1,30,5222.0,1299.175084,2328.115552
122,1,30,5255.333,1284.510812,2339.31794
122,1,30,5322.0,1275.4893240000001,2308.02168
122,1,30,5488.667,1450.333524,1796.80212
122,1,30,5622.0,1359.5998960000002,1772.738156
122,1,30,5655.333,1357.816,1809.304316
122,1,30,5688.667,1299.8145,1505.205416
122,1,30,5722.0,1323.843604,1464.071204
122,1,30,5755.333,1313.265872,1484.8784
122,1,30,5788.667,1311.317768,1993.526128
122,1,30,5822.0,1268.879952,1985.151668
122,1,30,5855.333,1295.83992,1971.419728
122,1,30,5955.333,1252.117052,1931.091856
122,1,30,5988.667,1285.532136,2014.824376
122,1,30,6022.0,1275.349996,2033.800848
122,1,30,6055.333,1196.309968,541.408052
122,1,30,6088.667,1225.188184,482.131492
122,1,30,6122.0,1177.584036,494.63610399999993
122,1,30,6155.333,1173.307164,516.7116999999998
122,1,30,6188.667,1168.582452,498.87980800000014
122,1,30,6222.0,1171.54566,495.6574680000001
122,1,30,6255.333,1166.328324,485.86964799999987
122,1,30,6288.667,1155.1982560000001,494.7303280000001
122,1,30,6322.0,1166.59454,496.6601079999998
122,1,30,6355.333,1195.0075000000002,483.64632400000005
122,1,30,6388.667,1219.7021439999999,440.13537199999996
122,1,30,6422.0,1221.191212,431.12550399999986
122,1,30,6455.333,1211.402176,473.6670359999998
122,1,30,6488.667,1202.164232,542.2832480000002
122,1,30,6588.667,1741.980616,2452.79746
122,1,30,6622.0,1732.7563559999999,2447.815668
122,1,30,6655.333,1727.107352,2471.59696
122,1,30,6722.0,1576.44278,2329.71132
122,1,30,6755.333,1583.986396,2336.414512
122,1,30,6822.0,1576.94038,2366.937652
122,1,30,6855.333,1581.49964,2323.358448
122,1,30,6888.667,977.878496,663.1714319999999
122,1,30,6922.0,956.338636,638.7559399999998
122,1,30,6955.333,950.413464,645.3081320000001
122,1,30,6988.667,955.905724,615.463888
122,1,30,7022.0,959.6041359999999,606.5881079999999
122,1,30,7055.333,971.764236,588.2313399999998
122,1,30,7088.667,953.147776,606.3610040000001
122,1,30,7155.333,823.950912,676.3942000000002
122,1,30,7188.667,804.078012,675.70262
122,1,30,7222.0,784.09564,677.5635439999999
122,1,30,7255.333,777.0745039999999,676.8610919999999
122,1,30,7288.667,788.4235160000001,672.5135
122,1,30,7322.0,808.9681760000001,652.9722879999999
122,1,30,7355.333,845.83536,636.763344
122,1,50,418.667,761.7633519999999,901.35098
122,1,50,452.0,724.164696,894.6634920000001
122,1,50,485.333,776.66896,600.8942000000002
122,1,50,518.6669999999999,779.027584,569.607
122,1,50,552.0,765.9295079999999,579.1834199999998
122,1,50,585.3330000000001,753.233244,563.7965200000001
