systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1536567465768,121,1,29,0,p,qwertyuiopåasdfghjklöäzxcvbnm,p,1282.5,1713.75
1536567466265,121,1,29,497,a,qwertyuiopåasdfghjklöäzxcvbnm,pa,123.75,1986.25
1536567466825,121,1,29,1057,l,qwertyuiopåasdfghjklöäzxcvbnm,pal,1156.2891,2051.875
1536567467304,121,1,29,1536,a,qwertyuiopåasdfghjklöäzxcvbnm,pala,111.796875,1991.875
1536567467761,121,1,29,1993,u,qwertyuiopåasdfghjklöäzxcvbnm,palau,864.1406,1765.0
1536567468059,121,1,29,2291,t,qwertyuiopåasdfghjklöäzxcvbnm,palaut,548.08594,1748.125
1536567468311,121,1,29,2543,a,qwertyuiopåasdfghjklöäzxcvbnm,palauta,99.84375,1986.875
1536567468974,121,1,29,3206, ,qwertyuiopåasdfghjklöäzxcvbnm,palauta ,727.03125,2538.75
1536567470248,121,1,29,4480,r,qwertyuiopåasdfghjklöäzxcvbnm,palauta r,481.9922,1768.125
1536567470530,121,1,29,4762,a,qwertyuiopåasdfghjklöäzxcvbnm,palauta ra,54.84375,2036.875
1536567471163,121,1,29,5395,p,qwertyuiopåasdfghjklöäzxcvbnm,palauta rap,1252.2656,1766.875
1536567471331,121,1,29,5563,o,qwertyuiopåasdfghjklöäzxcvbnm,palauta rapo,1101.4453,1801.875
1536567471710,121,1,29,5942,r,qwertyuiopåasdfghjklöäzxcvbnm,palauta rapor,463.0078,1761.25
1536567471927,121,1,29,6159,t,qwertyuiopåasdfghjklöäzxcvbnm,palauta raport,579.02344,1793.75
1536567472076,121,1,29,6308,t,qwertyuiopåasdfghjklöäzxcvbnm,palauta raportt,615.9375,1771.25
1536567472387,121,1,29,6619,i,qwertyuiopåasdfghjklöäzxcvbnm,palauta raportti,1017.4219,1781.25
1536567472870,121,1,29,7102, ,qwertyuiopåasdfghjklöäzxcvbnm,palauta raportti ,742.14844,2536.25
1536567473395,121,1,29,7627,p,qwertyuiopåasdfghjklöäzxcvbnm,palauta raportti p,1232.2266,1796.25
1536567473601,121,1,29,7833,i,qwertyuiopåasdfghjklöäzxcvbnm,palauta raportti pi,968.2031,1756.875
1536567473957,121,1,29,8189,a,qwertyuiopåasdfghjklöäzxcvbnm,palauta raportti pia,55.898438,2005.0
1536567474527,121,1,29,8759,m,qwertyuiopåasdfghjklöäzxcvbnm,palauta raportti piam,1064.1797,2278.125
1536567475548,121,1,29,9780,B,qwertyuiopåasdfghjklöäzxcvbnm,palauta raportti pia,1325.3906,2231.25
1536567475878,121,1,29,10110,n,qwertyuiopåasdfghjklöäzxcvbnm,palauta raportti pian,930.2344,2236.25
1536567493574,121,1,38,0,t,qwertyuiopåasdfghjklöäzxcvbnm,t,594.1406,1790.0
1536567493951,121,1,38,377,i,qwertyuiopåasdfghjklöäzxcvbnm,ti,1023.39844,1795.0
1536567494319,121,1,38,745,e,qwertyuiopåasdfghjklöäzxcvbnm,tie,311.1328,1828.125
1536567494525,121,1,38,951,d,qwertyuiopåasdfghjklöäzxcvbnm,tied,357.89062,2078.75
1536567494972,121,1,38,1398,ä,qwertyuiopåasdfghjklöäzxcvbnm,tiedä,1391.4844,2023.75
1536567495386,121,1,38,1812,t,qwertyuiopåasdfghjklöäzxcvbnm,tiedät,620.15625,1760.0
1536567495999,121,1,38,2425,k,qwertyuiopåasdfghjklöäzxcvbnm,tiedätk,995.27344,2076.25
1536567496203,121,1,38,2629,ö,qwertyuiopåasdfghjklöäzxcvbnm,tiedätkö,1283.5547,2061.875
1536567496671,121,1,38,3097, ,qwertyuiopåasdfghjklöäzxcvbnm,tiedätkö ,761.1328,2521.25
1536567497828,121,1,38,4254,t,qwertyuiopåasdfghjklöäzxcvbnm,tiedätkö t,648.9844,1773.75
1536567498365,121,1,38,4791,ä,qwertyuiopåasdfghjklöäzxcvbnm,tiedätkö tä,1410.4688,2018.125
1536567498796,121,1,38,5222,s,qwertyuiopåasdfghjklöäzxcvbnm,tiedätkö täs,220.78125,1978.75
1536567499060,121,1,38,5486,t,qwertyuiopåasdfghjklöäzxcvbnm,tiedätkö täst,585.0,1768.75
1536567499491,121,1,38,5917,ä,qwertyuiopåasdfghjklöäzxcvbnm,tiedätkö tästä,1416.4453,1993.75
1536567500020,121,1,38,6446, ,qwertyuiopåasdfghjklöäzxcvbnm,tiedätkö tästä ,811.0547,2531.25
1536567500353,121,1,38,6779,m,qwertyuiopåasdfghjklöäzxcvbnm,tiedätkö tästä m,1107.4219,2288.125
1536567500628,121,1,38,7054,i,qwertyuiopåasdfghjklöäzxcvbnm,tiedätkö tästä mi,971.3672,1798.75
1536567500891,121,1,38,7317,t,qwertyuiopåasdfghjklöäzxcvbnm,tiedätkö tästä mit,601.1719,1791.875
1536567501213,121,1,38,7639,ä,qwertyuiopåasdfghjklöäzxcvbnm,tiedätkö tästä mitä,1419.6094,2051.875
1536567501408,121,1,38,7834,ä,qwertyuiopåasdfghjklöäzxcvbnm,tiedätkö tästä mitää,1358.4375,1991.25
1536567501672,121,1,38,8098,n,qwertyuiopåasdfghjklöäzxcvbnm,tiedätkö tästä mitään,942.1875,2306.875
1536567508090,121,1,10,0,o,qwertyuiopåasdfghjklöäzxcvbnm,o,1102.1484,1713.75
1536567508260,121,1,10,170,l,qwertyuiopåasdfghjklöäzxcvbnm,ol,1103.2031,2055.0
1536567508478,121,1,10,388,i,qwertyuiopåasdfghjklöäzxcvbnm,oli,956.25,1731.875
