systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1536755414453,131,1,43,0,o,qwertyuiopåasdfghjklöäzxcvbnm,o,1127.4609,1693.75
1536755414725,131,1,43,272,l,qwertyuiopåasdfghjklöäzxcvbnm,ol,1157.3438,2003.125
1536755415310,131,1,43,857,e,qwertyuiopåasdfghjklöäzxcvbnm,ole,332.9297,1746.25
1536755416032,131,1,43,1579,n,qwertyuiopåasdfghjklöäzxcvbnm,olen,954.1406,2186.875
1536755416336,131,1,43,1883, ,qwertyuiopåasdfghjklöäzxcvbnm,olen ,737.22656,2536.25
1536755416787,131,1,43,2334,l,qwertyuiopåasdfghjklöäzxcvbnm,olen l,1109.1797,2073.125
1536755417063,131,1,43,2610,o,qwertyuiopåasdfghjklöäzxcvbnm,olen lo,1097.2266,1758.75
1536755417315,131,1,43,2862,m,qwertyuiopåasdfghjklöäzxcvbnm,olen lom,1098.2812,2271.875
1536755417837,131,1,43,3384,a,qwertyuiopåasdfghjklöäzxcvbnm,olen loma,105.82031,1936.25
1536755418496,131,1,43,4043,l,qwertyuiopåasdfghjklöäzxcvbnm,olen lomal,1131.3281,2026.875
1536755418664,131,1,43,4211,l,qwertyuiopåasdfghjklöäzxcvbnm,olen lomall,1087.3828,1993.75
1536755419238,131,1,43,4785,a,qwertyuiopåasdfghjklöäzxcvbnm,olen lomalla,29.882812,2003.75
1536755419920,131,1,43,5467, ,qwertyuiopåasdfghjklöäzxcvbnm,olen lomalla ,801.21094,2503.125
1536755420488,131,1,43,6035,h,qwertyuiopåasdfghjklöäzxcvbnm,olen lomalla h,696.09375,2016.25
1536755420820,131,1,43,6367,e,qwertyuiopåasdfghjklöäzxcvbnm,olen lomalla he,356.1328,1768.75
1536755421517,131,1,43,7064,i,qwertyuiopåasdfghjklöäzxcvbnm,olen lomalla hei,1017.4219,1763.125
1536755421931,131,1,43,7478,n,qwertyuiopåasdfghjklöäzxcvbnm,olen lomalla hein,933.39844,2231.25
1536755422353,131,1,43,7900,ä,qwertyuiopåasdfghjklöäzxcvbnm,olen lomalla heinä,1403.4375,1990.0
1536755422814,131,1,43,8361,k,qwertyuiopåasdfghjklöäzxcvbnm,olen lomalla heinäk,989.2969,2025.0
1536755423113,131,1,43,8660,u,qwertyuiopåasdfghjklöäzxcvbnm,olen lomalla heinäku,842.34375,1751.875
1536755423308,131,1,43,8855,u,qwertyuiopåasdfghjklöäzxcvbnm,olen lomalla heinäkuu,805.0781,1765.0
1536755423675,131,1,43,9222,s,qwertyuiopåasdfghjklöäzxcvbnm,olen lomalla heinäkuus,209.88281,2011.875
1536755423881,131,1,43,9428,s,qwertyuiopåasdfghjklöäzxcvbnm,olen lomalla heinäkuuss,202.85156,2041.875
1536755424065,131,1,43,9612,a,qwertyuiopåasdfghjklöäzxcvbnm,olen lomalla heinäkuussa,67.85155999999999,2033.125
1536755432478,131,1,5,0,k,qwertyuiopåasdfghjklöäzxcvbnm,k,959.41406,2023.75
1536755432726,131,1,5,248,i,qwertyuiopåasdfghjklöäzxcvbnm,ki,971.3672,1791.25
1536755433059,131,1,5,581,i,qwertyuiopåasdfghjklöäzxcvbnm,kii,971.3672,1741.25
1536755433380,131,1,5,902,t,qwertyuiopåasdfghjklöäzxcvbnm,kiit,619.10156,1751.875
1536755433809,131,1,5,1331,o,qwertyuiopåasdfghjklöäzxcvbnm,kiito,1122.1875,1791.25
1536755434507,131,1,5,2029,s,qwertyuiopåasdfghjklöäzxcvbnm,kiitos,175.07811999999998,2001.875
1536755435075,131,1,5,2597, ,qwertyuiopåasdfghjklöäzxcvbnm,kiitos ,725.27344,2466.875
1536755435454,131,1,5,2976,v,qwertyuiopåasdfghjklöäzxcvbnm,kiitos v,738.28125,2255.0
1536755435924,131,1,5,3446,a,qwertyuiopåasdfghjklöäzxcvbnm,kiitos va,91.75780999999999,2006.875
1536755436188,131,1,5,3710,s,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vas,217.96875,2026.25
1536755436683,131,1,5,4205,t,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vast,581.1328,1803.125
1536755437080,131,1,5,4602,a,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vasta,90.703125,2000.0
1536755437622,131,1,5,5144,u,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastau,807.1875,1808.125
1536755438101,131,1,5,5623,k,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastauk,983.3203,1991.875
1536755438782,131,1,5,6304,s,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastauks,198.98438000000002,2016.25
1536755439088,131,1,5,6610,e,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastaukse,338.90625,1751.875
1536755439455,131,1,5,6977,s,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastaukses,158.90625,2058.75
1536755439959,131,1,5,7481,t,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastauksest,600.1172,1766.875
1536755440535,131,1,5,8057,a,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastauksesta,82.96875,1998.125
1536755440880,131,1,5,8402,s,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastauksestas,207.77344,2008.125
1536755441441,131,1,5,8963,i,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastauksestasi,986.1328,1785.0
1536755449394,131,1,61,0,v,qwertyuiopåasdfghjklöäzxcvbnm,v,699.2578,2238.75
1536755449798,131,1,61,404,o,qwertyuiopåasdfghjklöäzxcvbnm,vo,1123.2422,1776.25
1536755450063,131,1,61,669,i,qwertyuiopåasdfghjklöäzxcvbnm,voi,1003.3594,1740.0
1536755450281,131,1,61,887,k,qwertyuiopåasdfghjklöäzxcvbnm,voik,967.14844,2016.875
1536755450510,131,1,61,1116,o,qwertyuiopåasdfghjklöäzxcvbnm,voiko,1121.4844,1725.0
1536755450928,131,1,61,1534, ,qwertyuiopåasdfghjklöäzxcvbnm,voiko ,747.0703,2520.0
1536755451460,131,1,61,2066,s,qwertyuiopåasdfghjklöäzxcvbnm,voiko s,208.82811999999998,1990.0
1536755451887,131,1,61,2493,i,qwertyuiopåasdfghjklöäzxcvbnm,voiko si,1008.28125,1753.75
1536755452174,131,1,61,2780,y,qwertyuiopåasdfghjklöäzxcvbnm,voiko siy,656.0156,1731.875
1536755452721,131,1,61,3327,B,qwertyuiopåasdfghjklöäzxcvbnm,voiko si,1366.5234,2326.25
1536755452892,131,1,61,3498,B,qwertyuiopåasdfghjklöäzxcvbnm,voiko s,1340.5078,2233.125
1536755453315,131,1,61,3921,t,qwertyuiopåasdfghjklöäzxcvbnm,voiko st,569.1797,1795.0
