systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1536231683269,114,1,25,0,h,qwertyuiopåasdfghjklöäzxcvbnm,h,720.0,2056.25
1536231684131,114,1,25,862,a,qwertyuiopåasdfghjklöäzxcvbnm,ha,76.99219000000001,2000.0
1536231684933,114,1,25,1664,l,qwertyuiopåasdfghjklöäzxcvbnm,hal,1136.25,2046.875
1536231685519,114,1,25,2250,u,qwertyuiopåasdfghjklöäzxcvbnm,halu,879.2578,1776.875
1536231686120,114,1,25,2851,s,qwertyuiopåasdfghjklöäzxcvbnm,halus,213.04688,2035.0
1536231686724,114,1,25,3455,i,qwertyuiopåasdfghjklöäzxcvbnm,halusi,1003.3594,1788.75
1536231687221,114,1,25,3952,n,qwertyuiopåasdfghjklöäzxcvbnm,halusin,991.40625,2220.0
1536231687697,114,1,25,4428, ,qwertyuiopåasdfghjklöäzxcvbnm,halusin ,784.33594,2428.75
1536231688076,114,1,25,4807,v,qwertyuiopåasdfghjklöäzxcvbnm,halusin v,727.03125,2226.25
1536231688613,114,1,25,5344,a,qwertyuiopåasdfghjklöäzxcvbnm,halusin va,80.859375,2033.75
1536231689176,114,1,25,5907,i,qwertyuiopåasdfghjklöäzxcvbnm,halusin vai,997.3828,1798.75
1536231689700,114,1,25,6431,n,qwertyuiopåasdfghjklöäzxcvbnm,halusin vain,1047.3047,2228.75
1536231690124,114,1,25,6855, ,qwertyuiopåasdfghjklöäzxcvbnm,halusin vain ,812.1094,2398.75
1536231690693,114,1,25,7424,t,qwertyuiopåasdfghjklöäzxcvbnm,halusin vain t,602.22656,1815.0
1536231691161,114,1,25,7892,a,qwertyuiopåasdfghjklöäzxcvbnm,halusin vain ta,85.78125,2018.75
1536231691607,114,1,25,8338,r,qwertyuiopåasdfghjklöäzxcvbnm,halusin vain tar,485.15625,1796.875
1536231692154,114,1,25,8885,k,qwertyuiopåasdfghjklöäzxcvbnm,halusin vain tark,998.4375,2031.25
1536231692487,114,1,25,9218,i,qwertyuiopåasdfghjklöäzxcvbnm,halusin vain tarki,983.3203,1808.125
1536231693005,114,1,25,9736,s,qwertyuiopåasdfghjklöäzxcvbnm,halusin vain tarkis,239.76562,2020.0
1536231693424,114,1,25,10155,t,qwertyuiopåasdfghjklöäzxcvbnm,halusin vain tarkist,608.2031,1810.0
1536231693857,114,1,25,10588,a,qwertyuiopåasdfghjklöäzxcvbnm,halusin vain tarkista,100.89844000000001,2033.75
1536231694132,114,1,25,10863,a,qwertyuiopåasdfghjklöäzxcvbnm,halusin vain tarkistaa,91.75780999999999,2046.875
1536231702385,114,1,9,0,t,qwertyuiopåasdfghjklöäzxcvbnm,t,579.02344,1823.75
1536231702938,114,1,9,553,u,qwertyuiopåasdfghjklöäzxcvbnm,tu,848.3203,1786.875
1536231703437,114,1,9,1052,l,qwertyuiopåasdfghjklöäzxcvbnm,tul,1104.2578,2035.0
1536231704063,114,1,9,1678,e,qwertyuiopåasdfghjklöäzxcvbnm,tule,356.83594,1828.125
1536231704438,114,1,9,2053,t,qwertyuiopåasdfghjklöäzxcvbnm,tulet,615.2344,1820.0
1536231704891,114,1,9,2506,k,qwertyuiopåasdfghjklöäzxcvbnm,tuletk,1014.2578,2011.25
1536231705200,114,1,9,2815,o,qwertyuiopåasdfghjklöäzxcvbnm,tuletko,1118.3203,1783.125
1536231705660,114,1,9,3275, ,qwertyuiopåasdfghjklöäzxcvbnm,tuletko ,778.0078,2433.75
1536231706086,114,1,9,3701,k,qwertyuiopåasdfghjklöäzxcvbnm,tuletko k,989.2969,2041.875
1536231706650,114,1,9,4265,a,qwertyuiopåasdfghjklöäzxcvbnm,tuletko ka,101.953125,2003.125
1536231707213,114,1,9,4828,n,qwertyuiopåasdfghjklöäzxcvbnm,tuletko kan,976.28906,2246.25
1536231707785,114,1,9,5400,s,qwertyuiopåasdfghjklöäzxcvbnm,tuletko kans,255.9375,2016.875
1536231708083,114,1,9,5698,s,qwertyuiopåasdfghjklöäzxcvbnm,tuletko kanss,209.88281,2026.875
1536231708427,114,1,9,6042,a,qwertyuiopåasdfghjklöäzxcvbnm,tuletko kanssa,60.820312,1988.75
1536231709041,114,1,9,6656,m,qwertyuiopåasdfghjklöäzxcvbnm,tuletko kanssam,1143.2812,2271.25
1536231709269,114,1,9,6884,m,qwertyuiopåasdfghjklöäzxcvbnm,tuletko kanssamm,1129.2188,2271.25
1536231709791,114,1,9,7406,e,qwertyuiopåasdfghjklöäzxcvbnm,tuletko kanssamme,324.14062,1821.875
1536231720336,114,1,23,0,e,qwertyuiopåasdfghjklöäzxcvbnm,e,311.83594,1766.875
1536231720895,114,1,23,559,i,qwertyuiopåasdfghjklöäzxcvbnm,ei,997.3828,1816.875
1536231721397,114,1,23,1061, ,qwertyuiopåasdfghjklöäzxcvbnm,ei ,719.2969,2431.875
1536231721882,114,1,23,1546,t,qwertyuiopåasdfghjklöäzxcvbnm,ei t,611.0156,1841.875
1536231722227,114,1,23,1891,e,qwertyuiopåasdfghjklöäzxcvbnm,ei te,324.14062,1796.25
1536231722605,114,1,23,2269,h,qwertyuiopåasdfghjklöäzxcvbnm,ei teh,738.9844,2013.125
1536231722949,114,1,23,2613,d,qwertyuiopåasdfghjklöäzxcvbnm,ei tehd,343.82812,2008.125
1536231723359,114,1,23,3023,ä,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä,1415.3906,2021.25
1536231723781,114,1,23,3445, ,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä ,783.28125,2436.875
1536231724208,114,1,23,3872,t,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä t,589.9219,1818.125
1536231724586,114,1,23,4250,ä,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä tä,1349.2969,2048.75
1536231725115,114,1,23,4779,s,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä täs,164.88281,2033.125
1536231725500,114,1,23,5164,t,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä täst,577.96875,1778.125
1536231725943,114,1,23,5607,ä,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä tästä,1414.3359,1998.125
1536231726409,114,1,23,6073, ,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä tästä ,767.1094,2403.75
1536231726936,114,1,23,6600,o,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä tästä o,1107.4219,1776.875
1536231727387,114,1,23,7051,n,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä tästä on,985.4297,2276.875
1536231727849,114,1,23,7513,g,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä tästä ong,628.9453,2036.25
1536231728250,114,1,23,7914,e,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä tästä onge,332.9297,1791.25
1536231728694,114,1,23,8358,l,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä tästä ongel,1108.4766,2011.875
1536231729003,114,1,23,8667,m,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä tästä ongelm,1135.1953,2246.875
1536231729507,114,1,23,9171,a,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä tästä ongelma,64.6875,2023.75
1536231729725,114,1,23,9389,a,qwertyuiopåasdfghjklöäzxcvbnm,ei tehdä tästä ongelmaa,91.75780999999999,2048.75
1536231737254,114,1,3,0,t,qwertyuiopåasdfghjklöäzxcvbnm,t,564.96094,1825.0
1536231737628,114,1,3,374,u,qwertyuiopåasdfghjklöäzxcvbnm,tu,844.10156,1791.25
1536231737926,114,1,3,672,l,qwertyuiopåasdfghjklöäzxcvbnm,tul,1112.3438,2003.125
1536231738463,114,1,3,1209,e,qwertyuiopåasdfghjklöäzxcvbnm,tule,319.92188,1821.25
1536231738946,114,1,3,1692,e,qwertyuiopåasdfghjklöäzxcvbnm,tulee,358.9453,1783.125
1536231739694,114,1,3,2440,B,qwertyuiopåasdfghjklöäzxcvbnm,tule,1304.2969,2200.0
1536231740034,114,1,3,2780,n,qwertyuiopåasdfghjklöäzxcvbnm,tulen,993.16406,2243.75
1536231740343,114,1,3,3089, ,qwertyuiopåasdfghjklöäzxcvbnm,tulen ,810.35156,2438.125
1536231740877,114,1,3,3623,p,qwertyuiopåasdfghjklöäzxcvbnm,tulen p,1237.5,1801.875
1536231741309,114,1,3,4055,e,qwertyuiopåasdfghjklöäzxcvbnm,tulen pe,317.8125,1811.875
1536231741619,114,1,3,4365,r,qwertyuiopåasdfghjklöäzxcvbnm,tulen per,435.9375,1795.0
1536231742071,114,1,3,4817,j,qwertyuiopåasdfghjklöäzxcvbnm,tulen perj,882.0703,2021.875
1536231742484,114,1,3,5230,e,qwertyuiopåasdfghjklöäzxcvbnm,tulen perje,311.83594,1790.0
1536231743028,114,1,3,5774,n,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjen,977.34375,2260.0
1536231743494,114,1,3,6240,t,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjent,563.2031,1776.25
1536231743850,114,1,3,6596,a,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjenta,60.820312,2018.125
1536231744305,114,1,3,7051,i,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjentai,1014.2578,1778.75
1536231744660,114,1,3,7406,n,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjentain,1011.4453,2218.125
1536231745123,114,1,3,7869,a,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjentaina,75.9375,2036.875
1536231746785,114,1,3,9531,B,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjentain,1349.2969,2258.125
1536231747101,114,1,3,9847,B,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjentai,1326.4453,2278.125
1536231747331,114,1,3,10077,B,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjenta,1311.3281,2271.25
1536231747525,114,1,3,10271,B,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjent,1319.4141,2266.25
1536231747755,114,1,3,10501,B,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjen,1303.2422,2270.0
1536231747961,114,1,3,10707,B,qwertyuiopåasdfghjklöäzxcvbnm,tulen perje,1308.5156,2268.125
1536231748156,114,1,3,10902,B,qwertyuiopåasdfghjklöäzxcvbnm,tulen perj,1304.2969,2261.25
1536231748889,114,1,3,11635,a,qwertyuiopåasdfghjklöäzxcvbnm,tulen perja,30.9375,2011.875
1536231749536,114,1,3,12282,n,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjan,1035.3516,2278.75
1536231750102,114,1,3,12848,t,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjant,575.15625,1818.75
1536231750544,114,1,3,13290,a,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjanta,34.804688,2048.75
1536231751016,114,1,3,13762,i,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjantai,936.21094,1818.125
1536231751372,114,1,3,14118,n,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjantain,1019.1797,2218.125
1536231751962,114,1,3,14708,a,qwertyuiopåasdfghjklöäzxcvbnm,tulen perjantaina,72.77344000000001,2041.25
1536231759473,114,1,30,0,o,qwertyuiopåasdfghjklöäzxcvbnm,o,1120.4297,1818.125
1536231760033,114,1,30,560,n,qwertyuiopåasdfghjklöäzxcvbnm,on,964.33594,2268.125
1536231760366,114,1,30,893,k,qwertyuiopåasdfghjklöäzxcvbnm,onk,983.3203,2043.75
1536231760710,114,1,30,1237,o,qwertyuiopåasdfghjklöäzxcvbnm,onko,1102.1484,1826.25
1536231761088,114,1,30,1615,h,qwertyuiopåasdfghjklöäzxcvbnm,onkoh,733.0078,2006.875
1536231761557,114,1,30,2084,a,qwertyuiopåasdfghjklöäzxcvbnm,onkoha,74.88280999999999,2026.875
1536231762147,114,1,30,2674,n,qwertyuiopåasdfghjklöäzxcvbnm,onkohan,1003.3594,2233.125
1536231762525,114,1,30,3052, ,qwertyuiopåasdfghjklöäzxcvbnm,onkohan ,794.1797,2440.0
1536231763103,114,1,30,3630,s,qwertyuiopåasdfghjklöäzxcvbnm,onkohan s,170.85938000000002,2031.25
1536231763459,114,1,30,3986,e,qwertyuiopåasdfghjklöäzxcvbnm,onkohan se,339.96094,1773.125
1536231763942,114,1,30,4469, ,qwertyuiopåasdfghjklöäzxcvbnm,onkohan se ,744.2578,2421.875
1536231764389,114,1,30,4916,j,qwertyuiopåasdfghjklöäzxcvbnm,onkohan se j,880.3125,2016.25
1536231764779,114,1,30,5306,o,qwertyuiopåasdfghjklöäzxcvbnm,onkohan se jo,1161.2109,1773.125
1536231765158,114,1,30,5685, ,qwertyuiopåasdfghjklöäzxcvbnm,onkohan se jo ,847.2656,2496.25
1536231765694,114,1,30,6221,o,qwertyuiopåasdfghjklöäzxcvbnm,onkohan se jo o,1114.4531,1786.875
1536231766027,114,1,30,6554,h,qwertyuiopåasdfghjklöäzxcvbnm,onkohan se jo oh,746.0156,2050.0
1536231766372,114,1,30,6899,i,qwertyuiopåasdfghjklöäzxcvbnm,onkohan se jo ohi,987.1875,1783.75
1536231775261,114,1,11,0,m,qwertyuiopåasdfghjklöäzxcvbnm,m,1116.2109,2278.125
1536231775711,114,1,11,450,i,qwertyuiopåasdfghjklöäzxcvbnm,mi,977.34375,1821.25
1536231776032,114,1,11,771,k,qwertyuiopåasdfghjklöäzxcvbnm,mik,981.21094,2021.875
1536231776444,114,1,11,1183,ä,qwertyuiopåasdfghjklöäzxcvbnm,mikä,1400.625,2015.0
1536231776874,114,1,11,1613, ,qwertyuiopåasdfghjklöäzxcvbnm,mikä ,839.1797,2443.125
1536231777417,114,1,11,2156,s,qwertyuiopåasdfghjklöäzxcvbnm,mikä s,206.01561999999998,2010.0
1536231778068,114,1,11,2807,i,qwertyuiopåasdfghjklöäzxcvbnm,mikä si,984.375,1821.25
1536231778444,114,1,11,3183,n,qwertyuiopåasdfghjklöäzxcvbnm,mikä sin,967.14844,2210.0
1536231778868,114,1,11,3607,u,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinu,851.1328,1786.25
1536231779201,114,1,11,3940,l,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinul,1066.2891,2046.875
1536231779419,114,1,11,4158,l,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinull,1105.3125,2043.125
1536231779953,114,1,11,4692,a,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla,99.84375,1971.875
1536231780426,114,1,11,5165, ,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla ,711.21094,2418.125
1536231780929,114,1,11,5668,o,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla o,1165.4297,1778.75
1536231781384,114,1,11,6123,n,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla on,941.1328,2285.0
1536231781717,114,1,11,6456, ,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla on ,829.33594,2456.875
