systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1535714864138,101,1,8,0,t,qwertyuiopåasdfghjklöäzxcvbnm,t,593.08594,1726.875
1535714864728,101,1,8,590,ä,qwertyuiopåasdfghjklöäzxcvbnm,tä,1312.3828,1998.75
1535714864920,101,1,8,782,m,qwertyuiopåasdfghjklöäzxcvbnm,täm,1084.2188,2258.75
1535714865046,101,1,8,908,ä,qwertyuiopåasdfghjklöäzxcvbnm,tämä,1323.2812,2013.125
1535714865564,101,1,8,1426, ,qwertyuiopåasdfghjklöäzxcvbnm,tämä ,735.1172,2451.875
1535714865908,101,1,8,1770,o,qwertyuiopåasdfghjklöäzxcvbnm,tämä o,1093.3594,1796.875
1535714866173,101,1,8,2035,n,qwertyuiopåasdfghjklöäzxcvbnm,tämä on,995.27344,2240.0
1535714866356,101,1,8,2218, ,qwertyuiopåasdfghjklöäzxcvbnm,tämä on ,767.1094,2423.125
1535714866678,101,1,8,2540,a,qwertyuiopåasdfghjklöäzxcvbnm,tämä on a,98.78905999999999,2058.125
1535714866896,101,1,8,2758,r,qwertyuiopåasdfghjklöäzxcvbnm,tämä on ar,499.21875,1821.875
1535714867507,101,1,8,3369,k,qwertyuiopåasdfghjklöäzxcvbnm,tämä on ark,971.3672,2021.25
1535714867813,101,1,8,3675,a,qwertyuiopåasdfghjklöäzxcvbnm,tämä on arka,100.89844000000001,2001.875
1535714868252,101,1,8,4114,l,qwertyuiopåasdfghjklöäzxcvbnm,tämä on arkal,1165.4297,1983.75
1535714868527,101,1,8,4389,u,qwertyuiopåasdfghjklöäzxcvbnm,tämä on arkalu,850.0781,1818.75
1535714868653,101,1,8,4515,o,qwertyuiopåasdfghjklöäzxcvbnm,tämä on arkaluo,1094.4141,1775.0
1535714869428,101,1,8,5290,n,qwertyuiopåasdfghjklöäzxcvbnm,tämä on arkaluon,980.15625,2241.25
1535714869800,101,1,8,5662,t,qwertyuiopåasdfghjklöäzxcvbnm,tämä on arkaluont,583.9453,1793.75
1535714870018,101,1,8,5880,o,qwertyuiopåasdfghjklöäzxcvbnm,tämä on arkaluonto,1097.2266,1790.0
1535714870351,101,1,8,6213,i,qwertyuiopåasdfghjklöäzxcvbnm,tämä on arkaluontoi,988.2422,1768.75
1535714870697,101,1,8,6559,s,qwertyuiopåasdfghjklöäzxcvbnm,tämä on arkaluontois,216.91406,2003.75
1535714870892,101,1,8,6754,t,qwertyuiopåasdfghjklöäzxcvbnm,tämä on arkaluontoist,557.9297,1786.875
1535714871155,101,1,8,7017,a,qwertyuiopåasdfghjklöäzxcvbnm,tämä on arkaluontoista,39.726562,2066.25
1535714878004,101,1,33,0,t,qwertyuiopåasdfghjklöäzxcvbnm,t,585.0,1773.75
1535714878528,101,1,33,524,ö,qwertyuiopåasdfghjklöäzxcvbnm,tö,1304.2969,2023.125
1535714878838,101,1,33,834,l,qwertyuiopåasdfghjklöäzxcvbnm,töl,1085.2734,2076.25
1535714878976,101,1,33,972,l,qwertyuiopåasdfghjklöäzxcvbnm,töll,1082.4609,2081.875
1535714879484,101,1,33,1480,B,qwertyuiopåasdfghjklöäzxcvbnm,töl,1285.3125,2238.125
1535714879599,101,1,33,1595,B,qwertyuiopåasdfghjklöäzxcvbnm,tö,1283.5547,2220.0
1535714880357,101,1,33,2353,ä,qwertyuiopåasdfghjklöäzxcvbnm,tä,1371.4453,1975.0
1535714880709,101,1,33,2705,l,qwertyuiopåasdfghjklöäzxcvbnm,täl,1075.4297,2018.125
1535714880846,101,1,33,2842,l,qwertyuiopåasdfghjklöäzxcvbnm,täll,1097.2266,2026.875
1535714881019,101,1,33,3015,ä,qwertyuiopåasdfghjklöäzxcvbnm,tällä,1385.5078,1993.75
1535714881329,101,1,33,3325, ,qwertyuiopåasdfghjklöäzxcvbnm,tällä ,732.3047,2408.75
1535714881994,101,1,33,3990,e,qwertyuiopåasdfghjklöäzxcvbnm,tällä e,316.0547,1818.125
1535714882377,101,1,33,4373,i,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei,1024.4531,1758.125
1535714882652,101,1,33,4648, ,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ,751.9922,2445.0
1535714882882,101,1,33,4878,i,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei i,1034.2969,1833.125
1535714883043,101,1,33,5039,l,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei il,1112.3438,2090.0
1535714883888,101,1,33,5884,B,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei i,1326.4453,2211.875
1535714884023,101,1,33,6019,B,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ,1311.3281,2200.0
1535714884632,101,1,33,6628,o,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei o,1098.2812,1748.75
1535714884802,101,1,33,6798,l,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ol,1118.3203,2018.125
1535714885148,101,1,33,7144,e,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole,332.9297,1806.875
1535714885482,101,1,33,7478, ,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole ,782.22656,2521.25
1535714886080,101,1,33,8076,k,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole k,960.1172,2021.875
1535714886226,101,1,33,8222,i,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole ki,1032.1875,1783.75
1535714886525,101,1,33,8521,v,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kiv,716.1328,2211.25
1535714886788,101,1,33,8784,s,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kivs,131.83594,1993.125
1535714887030,101,1,33,9026, ,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kivs ,596.9531,2463.75
1535714887753,101,1,33,9749,l,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kivs l,1056.4453,2016.25
1535714887933,101,1,33,9929,i,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kivs li,985.4297,1788.125
1535714888059,101,1,33,10055,i,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kivs lii,965.3906,1786.25
1535714888323,101,1,33,10319,t,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kivs liit,537.1875,1781.25
1535714889148,101,1,33,11144,B,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kivs lii,1300.4297,2236.875
1535714889282,101,1,33,11278,B,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kivs li,1283.5547,2211.875
1535714889443,101,1,33,11439,B,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kivs l,1260.3516,2221.25
1535714889581,101,1,33,11577,B,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kivs ,1249.4531,2215.0
1535714890180,101,1,33,12176,B,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kivs,1315.5469,2193.125
1535714890327,101,1,33,12323,B,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kiv,1326.4453,2216.25
1535714890476,101,1,33,12472,B,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole ki,1333.4766,2218.75
1535714890625,101,1,33,12621,B,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole k,1342.2656,2235.0
1535714891172,101,1,33,13168,o,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole ko,1080.3516,1728.75
1535714891526,101,1,33,13522,v,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kov,725.27344,2211.25
1535714891814,101,1,33,13810,a,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kova,98.78905999999999,2003.75
1535714892405,101,1,33,14401, ,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kova ,725.97656,2515.0
1535714892809,101,1,33,14805,k,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kova k,1004.41406,2028.75
1535714893017,101,1,33,15013,i,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kova ki,974.1797,1821.875
1535714893142,101,1,33,15138,i,qwertyuiopåasdfghjklöäzxcvbnm,tällä ei ole kova kii,943.2422,1808.75
