systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1536066832458,108,1,9,0,t,qwertyuiopåasdfghjklöäzxcvbnm,t,555.1172,1770.0
1536066832956,108,1,9,498,u,qwertyuiopåasdfghjklöäzxcvbnm,tu,852.1875,1763.125
1536066833289,108,1,9,831,l,qwertyuiopåasdfghjklöäzxcvbnm,tul,1142.2266,2011.875
1536066833791,108,1,9,1333,e,qwertyuiopåasdfghjklöäzxcvbnm,tule,292.85156,1805.0
1536066833998,108,1,9,1540,t,qwertyuiopåasdfghjklöäzxcvbnm,tulet,622.96875,1726.875
1536066834629,108,1,9,2171,k,qwertyuiopåasdfghjklöäzxcvbnm,tuletk,966.09375,2001.25
1536066834798,108,1,9,2340,o,qwertyuiopåasdfghjklöäzxcvbnm,tuletko,1144.3359,1726.875
1536066835266,108,1,9,2808, ,qwertyuiopåasdfghjklöäzxcvbnm,tuletko ,847.2656,2526.25
1536066835645,108,1,9,3187,k,qwertyuiopåasdfghjklöäzxcvbnm,tuletko k,986.1328,2008.125
1536066836085,108,1,9,3627,a,qwertyuiopåasdfghjklöäzxcvbnm,tuletko ka,64.6875,1920.0
1536066836660,108,1,9,4202,n,qwertyuiopåasdfghjklöäzxcvbnm,tuletko kan,1010.3906,2180.0
1536066837164,108,1,9,4706,s,qwertyuiopåasdfghjklöäzxcvbnm,tuletko kans,207.07031,2011.25
1536066837325,108,1,9,4867,s,qwertyuiopåasdfghjklöäzxcvbnm,tuletko kanss,217.96875,1996.875
1536066837566,108,1,9,5108,a,qwertyuiopåasdfghjklöäzxcvbnm,tuletko kanssa,76.99219000000001,1998.125
1536066838230,108,1,9,5772,m,qwertyuiopåasdfghjklöäzxcvbnm,tuletko kanssam,1162.2656,2178.75
1536066838388,108,1,9,5930,m,qwertyuiopåasdfghjklöäzxcvbnm,tuletko kanssamm,1136.25,2206.875
1536066838881,108,1,9,6423,e,qwertyuiopåasdfghjklöäzxcvbnm,tuletko kanssamme,325.89844,1801.875
1536066845486,108,1,46,0,v,qwertyuiopåasdfghjklöäzxcvbnm,v,738.28125,2258.75
1536066845826,108,1,46,340,o,qwertyuiopåasdfghjklöäzxcvbnm,vo,1081.4062,1821.25
1536066846044,108,1,46,558,i,qwertyuiopåasdfghjklöäzxcvbnm,voi,1003.3594,1771.25
1536066846366,108,1,46,880,n,qwertyuiopåasdfghjklöäzxcvbnm,voin,964.33594,2258.125
1536066846561,108,1,46,1075,k,qwertyuiopåasdfghjklöäzxcvbnm,voink,973.125,2045.0
1536066846745,108,1,46,1259,o,qwertyuiopåasdfghjklöäzxcvbnm,voinko,1083.1641,1800.0
1536066847078,108,1,46,1592, ,qwertyuiopåasdfghjklöäzxcvbnm,voinko ,885.2344,2483.125
1536066847511,108,1,46,2025,p,qwertyuiopåasdfghjklöäzxcvbnm,voinko p,1252.2656,1806.875
1536066847786,108,1,46,2300,i,qwertyuiopåasdfghjklöäzxcvbnm,voinko pi,999.1406,1823.75
1536066848051,108,1,46,2565,t,qwertyuiopåasdfghjklöäzxcvbnm,voinko pit,606.09375,1773.75
1536066848717,108,1,46,3231,ä,qwertyuiopåasdfghjklöäzxcvbnm,voinko pitä,1356.3281,2010.0
1536066849300,108,1,46,3814, ,qwertyuiopåasdfghjklöäzxcvbnm,voinko pitä ,886.28906,2438.75
1536066849644,108,1,46,4158,t,qwertyuiopåasdfghjklöäzxcvbnm,voinko pitä t,599.0625,1748.125
1536066850135,108,1,46,4649,ä,qwertyuiopåasdfghjklöäzxcvbnm,voinko pitä tä,1408.3594,2066.875
1536066850445,108,1,46,4959,m,qwertyuiopåasdfghjklöäzxcvbnm,voinko pitä täm,1151.3672,2270.0
1536066850675,108,1,46,5189,ä,qwertyuiopåasdfghjklöäzxcvbnm,voinko pitä tämä,1400.625,1961.875
1536066850961,108,1,46,5475,n,qwertyuiopåasdfghjklöäzxcvbnm,voinko pitä tämän,980.15625,2250.0
1536066869367,108,1,23,0,e,qwertyuiopåasdfghjklöäzxcvbnm,e,326.95312,1765.0
