systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1536744751743,129,1,4,0,k,qwertyuiopåasdfghjklöäzxcvbnm,k,1028.3203,2010.0
1536744752120,129,1,4,377,u,qwertyuiopåasdfghjklöäzxcvbnm,ku,844.10156,1741.875
1536744752275,129,1,4,532,u,qwertyuiopåasdfghjklöäzxcvbnm,kuu,817.03125,1750.0
1536744752762,129,1,4,1019,l,qwertyuiopåasdfghjklöäzxcvbnm,kuul,1139.4141,2008.75
1536744753387,129,1,4,1644,l,qwertyuiopåasdfghjklöäzxcvbnm,kuull,1123.2422,1981.875
1536744753679,129,1,4,1936,o,qwertyuiopåasdfghjklöäzxcvbnm,kuullo,1136.25,1798.75
1536744754391,129,1,4,2648,s,qwertyuiopåasdfghjklöäzxcvbnm,kuullos,175.78125,1980.0
1536744754904,129,1,4,3161,t,qwertyuiopåasdfghjklöäzxcvbnm,kuullost,581.1328,1761.25
1536744755306,129,1,4,3563,a,qwertyuiopåasdfghjklöäzxcvbnm,kuullosta,85.78125,2038.125
1536744755473,129,1,4,3730,a,qwertyuiopåasdfghjklöäzxcvbnm,kuullostaa,79.80469000000001,2033.125
1536744756044,129,1,4,4301, ,qwertyuiopåasdfghjklöäzxcvbnm,kuullostaa ,714.02344,2390.0
1536744756504,129,1,4,4761,h,qwertyuiopåasdfghjklöäzxcvbnm,kuullostaa h,706.28906,2016.25
1536744756729,129,1,4,4986,y,qwertyuiopåasdfghjklöäzxcvbnm,kuullostaa hy,704.1797,1793.75
1536744756991,129,1,4,5248,v,qwertyuiopåasdfghjklöäzxcvbnm,kuullostaa hyv,701.0156,2190.0
1536744757505,129,1,4,5762,ä,qwertyuiopåasdfghjklöäzxcvbnm,kuullostaa hyvä,1345.4297,1998.125
1536744757919,129,1,4,6176,l,qwertyuiopåasdfghjklöäzxcvbnm,kuullostaa hyväl,1070.1562,1965.0
1536744758353,129,1,4,6610,t,qwertyuiopåasdfghjklöäzxcvbnm,kuullostaa hyvält,583.9453,1771.25
1536744758831,129,1,4,7088,ö,qwertyuiopåasdfghjklöäzxcvbnm,kuullostaa hyvältö,1303.2422,1998.125
1536744759881,129,1,4,8138,B,qwertyuiopåasdfghjklöäzxcvbnm,kuullostaa hyvält,1279.3359,2251.875
1536744760152,129,1,4,8409,ä,qwertyuiopåasdfghjklöäzxcvbnm,kuullostaa hyvältä,1381.2891,1956.875
1536744768690,129,1,22,0,v,qwertyuiopåasdfghjklöäzxcvbnm,v,706.28906,2186.875
1536744769179,129,1,22,489,o,qwertyuiopåasdfghjklöäzxcvbnm,vo,1113.3984,1740.0
1536744769404,129,1,22,714,i,qwertyuiopåasdfghjklöäzxcvbnm,voi,958.3594,1733.75
1536744769737,129,1,22,1047,n,qwertyuiopåasdfghjklöäzxcvbnm,voin,948.16406,2236.25
1536744769963,129,1,22,1273,k,qwertyuiopåasdfghjklöäzxcvbnm,voink,991.40625,1980.0
1536744770140,129,1,22,1450,o,qwertyuiopåasdfghjklöäzxcvbnm,voinko,1093.3594,1728.75
1536744770685,129,1,22,1995, ,qwertyuiopåasdfghjklöäzxcvbnm,voinko ,738.9844,2398.125
1536744771237,129,1,22,2547,a,qwertyuiopåasdfghjklöäzxcvbnm,voinko a,49.921875,1953.125
1536744771771,129,1,22,3081,u,qwertyuiopåasdfghjklöäzxcvbnm,voinko au,871.1719,1728.125
1536744772176,129,1,22,3486,t,qwertyuiopåasdfghjklöäzxcvbnm,voinko aut,558.9844,1746.875
1536744772342,129,1,22,3652,t,qwertyuiopåasdfghjklöäzxcvbnm,voinko autt,537.1875,1781.875
1536744772760,129,1,22,4070,a,qwertyuiopåasdfghjklöäzxcvbnm,voinko autta,58.007812,2036.25
1536744772914,129,1,22,4224,a,qwertyuiopåasdfghjklöäzxcvbnm,voinko auttaa,65.74219000000001,2023.75
1536744773392,129,1,22,4702, ,qwertyuiopåasdfghjklöäzxcvbnm,voinko auttaa ,697.14844,2443.75
1536744773829,129,1,22,5139,m,qwertyuiopåasdfghjklöäzxcvbnm,voinko auttaa m,1100.3906,2271.25
1536744774192,129,1,22,5502,i,qwertyuiopåasdfghjklöäzxcvbnm,voinko auttaa mi,953.08594,1821.875
1536744774724,129,1,22,6034,t,qwertyuiopåasdfghjklöäzxcvbnm,voinko auttaa mit,579.02344,1751.25
1536744775021,129,1,22,6331,e,qwertyuiopåasdfghjklöäzxcvbnm,voinko auttaa mite,279.84375,1776.875
1536744775524,129,1,22,6834,n,qwertyuiopåasdfghjklöäzxcvbnm,voinko auttaa miten,990.35156,2238.125
1536744775821,129,1,22,7131,k,qwertyuiopåasdfghjklöäzxcvbnm,voinko auttaa mitenk,950.27344,2000.0
1536744776301,129,1,22,7611,ä,qwertyuiopåasdfghjklöäzxcvbnm,voinko auttaa mitenkä,1354.5703,2001.25
1536744776443,129,1,22,7753,ä,qwertyuiopåasdfghjklöäzxcvbnm,voinko auttaa mitenkää,1354.5703,1978.75
1536744776788,129,1,22,8098,n,qwertyuiopåasdfghjklöäzxcvbnm,voinko auttaa mitenkään,976.28906,2186.25
1536744789030,129,1,11,0,m,qwertyuiopåasdfghjklöäzxcvbnm,m,1149.2578,2221.875
1536744789393,129,1,11,363,i,qwertyuiopåasdfghjklöäzxcvbnm,mi,942.1875,1746.25
1536744789631,129,1,11,601,k,qwertyuiopåasdfghjklöäzxcvbnm,mik,966.09375,1936.875
1536744789928,129,1,11,898,ä,qwertyuiopåasdfghjklöäzxcvbnm,mikä,1363.3594,2008.75
1536744790364,129,1,11,1334, ,qwertyuiopåasdfghjklöäzxcvbnm,mikä ,678.16406,2368.125
1536744791041,129,1,11,2011,s,qwertyuiopåasdfghjklöäzxcvbnm,mikä s,149.0625,1943.75
1536744791487,129,1,11,2457,i,qwertyuiopåasdfghjklöäzxcvbnm,mikä si,980.15625,1761.25
1536744791843,129,1,11,2813,n,qwertyuiopåasdfghjklöäzxcvbnm,mikä sin,990.35156,2211.875
1536744792152,129,1,11,3122,u,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinu,812.1094,1726.875
1536744792566,129,1,11,3536,l,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinul,1122.1875,2055.0
1536744792708,129,1,11,3678,l,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinull,1129.2188,2056.875
1536744793197,129,1,11,4167,a,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla,60.820312,1953.125
1536744793742,129,1,11,4712, ,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla ,718.2422,2386.875
1536744794226,129,1,11,5196,o,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla o,1110.2344,1753.125
1536744794535,129,1,11,5505,n,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla on,990.35156,2240.0
1536744794808,129,1,11,5778, ,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla on ,846.21094,2441.25
1536744795450,129,1,11,6420,v,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla on v,722.1094,2233.75
1536744795792,129,1,11,6762,i,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla on vi,954.1406,1786.875
1536744796293,129,1,11,7263,a,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla on via,98.78905999999999,2010.0
1536744796999,129,1,11,7969,l,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla on vial,1105.3125,2021.25
1536744797173,129,1,11,8143,l,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla on viall,1156.2891,2028.125
1536744797692,129,1,11,8662,a,qwertyuiopåasdfghjklöäzxcvbnm,mikä sinulla on vialla,79.80469000000001,2023.125
1536744806705,129,1,62,0,t,qwertyuiopåasdfghjklöäzxcvbnm,t,624.02344,1781.25
1536744807100,129,1,62,395,a,qwertyuiopåasdfghjklöäzxcvbnm,ta,55.898438,1990.0
