systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1536063047880,107,1,21,0,t,qwertyuiopåasdfghjklöäzxcvbnm,t,538.9453,1815.0
1536063048197,107,1,21,317,a,qwertyuiopåasdfghjklöäzxcvbnm,ta,27.773438,2006.25
1536063048633,107,1,21,753,r,qwertyuiopåasdfghjklöäzxcvbnm,tar,458.08594000000005,1778.75
1536063049437,107,1,21,1557,v,qwertyuiopåasdfghjklöäzxcvbnm,tarv,759.02344,2226.25
1536063049693,107,1,21,1813,i,qwertyuiopåasdfghjklöäzxcvbnm,tarvi,986.1328,1780.0
1536063050025,107,1,21,2145,t,qwertyuiopåasdfghjklöäzxcvbnm,tarvit,616.9922,1776.25
1536063050437,107,1,21,2557,s,qwertyuiopåasdfghjklöäzxcvbnm,tarvits,230.97656,1951.875
1536063050639,107,1,21,2759,e,qwertyuiopåasdfghjklöäzxcvbnm,tarvitse,350.15625,1725.0
1536063050864,107,1,21,2984,t,qwertyuiopåasdfghjklöäzxcvbnm,tarvitset,535.0781,1791.875
1536063051821,107,1,21,3941,k,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetk,1007.22656,2040.0
1536063052021,107,1,21,4141,o,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko,1156.2891,1778.125
1536063052417,107,1,21,4537, ,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko ,803.3203,2516.875
1536063053094,107,1,21,5214,s,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko s,166.99219,1973.75
1536063053303,107,1,21,5423,e,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko se,311.83594,1716.25
1536063053791,107,1,21,5911,n,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko sen,999.1406,2323.125
1536063053980,107,1,21,6100, ,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko sen ,898.2422,2403.75
1536063054288,107,1,21,6408,t,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko sen t,553.0078,1741.875
1536063055018,107,1,21,7138,ä,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko sen tä,1391.4844,1966.875
1536063055393,107,1,21,7513,n,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko sen tän,1018.125,2196.875
1536063055666,107,1,21,7786,ä,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko sen tänä,1410.4688,1935.0
1536063055820,107,1,21,7940,ä,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko sen tänää,1344.375,1976.875
