systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1536653296241,123,1,74,0,o,qwertyuiopåasdfghjklöäzxcvbnm,o,1131.3281,1741.875
1536653296690,123,1,74,449,n,qwertyuiopåasdfghjklöäzxcvbnm,on,978.39844,2186.25
1536653297045,123,1,74,804,k,qwertyuiopåasdfghjklöäzxcvbnm,onk,1009.33594,1985.0
1536653297309,123,1,74,1068,o,qwertyuiopåasdfghjklöäzxcvbnm,onko,1123.2422,1743.125
1536653297950,123,1,74,1709, ,qwertyuiopåasdfghjklöäzxcvbnm,onko ,837.0703,2421.875
1536653298377,123,1,74,2136,h,qwertyuiopåasdfghjklöäzxcvbnm,onko h,781.1719,2003.125
1536653298857,123,1,74,2616,ä,qwertyuiopåasdfghjklöäzxcvbnm,onko hä,1365.4688,1996.25
1536653299502,123,1,74,3261,n,qwertyuiopåasdfghjklöäzxcvbnm,onko hän,977.34375,2221.25
1536653299867,123,1,74,3626, ,qwertyuiopåasdfghjklöäzxcvbnm,onko hän ,834.2578,2431.875
1536653300753,123,1,74,4512,v,qwertyuiopåasdfghjklöäzxcvbnm,onko hän v,747.0703,2195.0
1536653301449,123,1,74,5208,a,qwertyuiopåasdfghjklöäzxcvbnm,onko hän va,85.78125,1978.125
1536653302043,123,1,74,5802,l,qwertyuiopåasdfghjklöäzxcvbnm,onko hän val,1080.3516,1996.875
1536653303175,123,1,74,6934,m,qwertyuiopåasdfghjklöäzxcvbnm,onko hän valm,1127.4609,2203.75
1536653303520,123,1,74,7279,i,qwertyuiopåasdfghjklöäzxcvbnm,onko hän valmi,968.2031,1808.75
1536653304092,123,1,74,7851,s,qwertyuiopåasdfghjklöäzxcvbnm,onko hän valmis,194.76561999999998,2003.75
1536653304620,123,1,74,8379, ,qwertyuiopåasdfghjklöäzxcvbnm,onko hän valmis ,770.27344,2421.875
1536653304964,123,1,74,8723,v,qwertyuiopåasdfghjklöäzxcvbnm,onko hän valmis v,724.21875,2200.0
1536653305263,123,1,74,9022,i,qwertyuiopåasdfghjklöäzxcvbnm,onko hän valmis vi,975.2344,1818.75
1536653305937,123,1,74,9696,e,qwertyuiopåasdfghjklöäzxcvbnm,onko hän valmis vie,309.02344,1796.25
1536653306534,123,1,74,10293,l,qwertyuiopåasdfghjklöäzxcvbnm,onko hän valmis viel,1093.3594,2003.75
1536653306762,123,1,74,10521,ä,qwertyuiopåasdfghjklöäzxcvbnm,onko hän valmis vielä,1387.6172,1933.75
1536653313512,123,1,59,0,e,qwertyuiopåasdfghjklöäzxcvbnm,e,337.85156,1746.25
1536653314326,123,1,59,814,n,qwertyuiopåasdfghjklöäzxcvbnm,en,984.375,2223.75
1536653315131,123,1,59,1619, ,qwertyuiopåasdfghjklöäzxcvbnm,en ,702.0703,2433.75
1536653315805,123,1,59,2293,t,qwertyuiopåasdfghjklöäzxcvbnm,en t,586.0547,1771.25
