systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1535984654932,105,1,21,0,t,qwertyuiopåasdfghjklöäzxcvbnm,t,613.125,1728.75
1535984655389,105,1,21,457,a,qwertyuiopåasdfghjklöäzxcvbnm,ta,80.859375,1968.125
1535984656130,105,1,21,1198,r,qwertyuiopåasdfghjklöäzxcvbnm,tar,427.14844000000005,1836.25
1535984656701,105,1,21,1769,v,qwertyuiopåasdfghjklöäzxcvbnm,tarv,722.1094,2238.75
1535984656997,105,1,21,2065,i,qwertyuiopåasdfghjklöäzxcvbnm,tarvi,966.09375,1826.25
1535984657294,105,1,21,2362,t,qwertyuiopåasdfghjklöäzxcvbnm,tarvit,581.1328,1773.125
1535984657613,105,1,21,2681,s,qwertyuiopåasdfghjklöäzxcvbnm,tarvits,239.0625,1996.25
1535984657875,105,1,21,2943,e,qwertyuiopåasdfghjklöäzxcvbnm,tarvitse,362.10938,1750.0
1535984658135,105,1,21,3203,t,qwertyuiopåasdfghjklöäzxcvbnm,tarvitset,568.125,1741.875
1535984658545,105,1,21,3613,k,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetk,976.28906,2025.0
1535984658781,105,1,21,3849,o,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko,1082.4609,1803.125
1535984659378,105,1,21,4446, ,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko ,710.15625,2486.25
1535984659794,105,1,21,4862,s,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko s,162.77344,2036.875
1535984660007,105,1,21,5075,e,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko se,315.0,1753.125
1535984660693,105,1,21,5761,n,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko sen,1000.1953,2228.125
1535984660928,105,1,21,5996, ,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko sen ,847.2656,2450.0
1535984661260,105,1,21,6328,t,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko sen t,616.9922,1785.0
1535984661732,105,1,21,6800,ä,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko sen tä,1358.4375,2016.875
1535984662005,105,1,21,7073,n,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko sen tän,998.4375,2218.125
1535984662194,105,1,21,7262,ä,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko sen tänä,1354.5703,1988.125
1535984662372,105,1,21,7440,ä,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko sen tänää,1310.2734,2018.125
1535984662620,105,1,21,7688,n,qwertyuiopåasdfghjklöäzxcvbnm,tarvitsetko sen tänään,991.40625,2231.875
1535984669415,105,1,12,0,m,qwertyuiopåasdfghjklöäzxcvbnm,m,1129.2188,2253.125
1535984669742,105,1,12,327,i,qwertyuiopåasdfghjklöäzxcvbnm,mi,959.41406,1818.125
1535984669955,105,1,12,540,n,qwertyuiopåasdfghjklöäzxcvbnm,min,1023.39844,2261.875
1535984670133,105,1,12,718,k,qwertyuiopåasdfghjklöäzxcvbnm,mink,981.21094,1993.125
1535984670334,105,1,12,919,ä,qwertyuiopåasdfghjklöäzxcvbnm,minkä,1349.2969,2003.75
1535984670643,105,1,12,1228, ,qwertyuiopåasdfghjklöäzxcvbnm,minkä ,773.08594,2458.125
1535984670891,105,1,12,1476,n,qwertyuiopåasdfghjklöäzxcvbnm,minkä n,1034.2969,2200.0
1535984671129,105,1,12,1714,i,qwertyuiopåasdfghjklöäzxcvbnm,minkä ni,1016.3672,1783.75
1535984671306,105,1,12,1891,i,qwertyuiopåasdfghjklöäzxcvbnm,minkä nii,948.16406,1763.75
1535984671638,105,1,12,2223,s,qwertyuiopåasdfghjklöäzxcvbnm,minkä niis,233.78906,1961.875
1535984671899,105,1,12,2484,t,qwertyuiopåasdfghjklöäzxcvbnm,minkä niist,545.97656,1763.75
1535984672522,105,1,12,3107,ä,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä,1402.3828,1985.0
1535984672906,105,1,12,3491, ,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä ,821.25,2458.125
1535984673167,105,1,12,3752,v,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä v,733.0078,2176.875
1535984673463,105,1,12,4048,a,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä va,123.75,2003.125
1535984674004,105,1,12,4589,l,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä val,1126.4062,2040.0
1535984674265,105,1,12,4850,i,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä vali,936.21094,1716.875
1535984674549,105,1,12,5134,t,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä valit,534.02344,1731.25
1535984674845,105,1,12,5430,s,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä valits,241.875,1993.75
1535984675462,105,1,12,6047,i,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä valitsi,979.10156,1776.875
1535984675721,105,1,12,6306,t,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä valitsit,576.91406,1751.875
1535984681919,105,1,4,0,k,qwertyuiopåasdfghjklöäzxcvbnm,k,991.40625,2048.125
1535984682225,105,1,4,306,u,qwertyuiopåasdfghjklöäzxcvbnm,ku,850.0781,1788.125
1535984682391,105,1,4,472,u,qwertyuiopåasdfghjklöäzxcvbnm,kuu,844.10156,1763.75
1535984682652,105,1,4,733,l,qwertyuiopåasdfghjklöäzxcvbnm,kuul,1149.2578,2021.875
1535984682865,105,1,4,946,o,qwertyuiopåasdfghjklöäzxcvbnm,kuulo,1093.3594,1776.875
1535984683265,105,1,4,1346,s,qwertyuiopåasdfghjklöäzxcvbnm,kuulos,245.03906,1993.75
