systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1535970284247,104,1,72,0,v,qwertyuiopåasdfghjklöäzxcvbnm,v,731.25,2220.0
1535970284719,104,1,72,472,o,qwertyuiopåasdfghjklöäzxcvbnm,vo,1080.3516,1770.0
1535970285298,104,1,72,1051,t,qwertyuiopåasdfghjklöäzxcvbnm,vot,568.125,1740.0
1535970285808,104,1,72,1561,k,qwertyuiopåasdfghjklöäzxcvbnm,votk,994.21875,1960.0
1535970286164,104,1,72,1917,o,qwertyuiopåasdfghjklöäzxcvbnm,votko,1079.2969,1736.875
1535970286639,104,1,72,2392, ,qwertyuiopåasdfghjklöäzxcvbnm,votko ,685.1953,2463.125
1535970286984,104,1,72,2737,j,qwertyuiopåasdfghjklöäzxcvbnm,votko j,855.35156,1990.0
1535970287329,104,1,72,3082,o,qwertyuiopåasdfghjklöäzxcvbnm,votko jo,1081.4062,1780.0
1535970287763,104,1,72,3516, ,qwertyuiopåasdfghjklöäzxcvbnm,votko jo ,740.03906,2463.75
1535970288173,104,1,72,3926,p,qwertyuiopåasdfghjklöäzxcvbnm,votko jo p,1221.3281,1776.875
1535970288752,104,1,72,4505,a,qwertyuiopåasdfghjklöäzxcvbnm,votko jo pa,100.89844000000001,2031.25
1535970289195,104,1,72,4948,r,qwertyuiopåasdfghjklöäzxcvbnm,votko jo par,460.89844000000005,1760.0
1535970289401,104,1,72,5154,e,qwertyuiopåasdfghjklöäzxcvbnm,votko jo pare,304.10156,1710.0
1535970290065,104,1,72,5818,m,qwertyuiopåasdfghjklöäzxcvbnm,votko jo parem,1143.2812,2193.75
1535970290223,104,1,72,5976,m,qwertyuiopåasdfghjklöäzxcvbnm,votko jo paremm,1124.2969,2158.125
1535970290591,104,1,72,6344,i,qwertyuiopåasdfghjklöäzxcvbnm,votko jo paremmi,936.21094,1740.0
1535970291036,104,1,72,6789,n,qwertyuiopåasdfghjklöäzxcvbnm,votko jo paremmin,1000.1953,2198.75
1535970297905,104,1,12,0,m,qwertyuiopåasdfghjklöäzxcvbnm,m,1098.2812,2181.875
1535970298328,104,1,12,423,i,qwertyuiopåasdfghjklöäzxcvbnm,mi,925.3125,1715.0
1535970298672,104,1,12,767,n,qwertyuiopåasdfghjklöäzxcvbnm,min,1024.4531,2240.0
1535970298913,104,1,12,1008,k,qwertyuiopåasdfghjklöäzxcvbnm,mink,989.2969,2020.0
1535970299444,104,1,12,1539,ä,qwertyuiopåasdfghjklöäzxcvbnm,minkä,1369.3359,2001.25
1535970299951,104,1,12,2046, ,qwertyuiopåasdfghjklöäzxcvbnm,minkä ,765.0,2438.125
1535970300274,104,1,12,2369,n,qwertyuiopåasdfghjklöäzxcvbnm,minkä n,985.4297,2211.875
1535970300595,104,1,12,2690,i,qwertyuiopåasdfghjklöäzxcvbnm,minkä ni,954.1406,1743.125
1535970300790,104,1,12,2885,i,qwertyuiopåasdfghjklöäzxcvbnm,minkä nii,954.1406,1760.0
1535970301244,104,1,12,3339,s,qwertyuiopåasdfghjklöäzxcvbnm,minkä niis,236.95312,1958.75
1535970301679,104,1,12,3774,t,qwertyuiopåasdfghjklöäzxcvbnm,minkä niist,622.2656,1751.875
1535970302253,104,1,12,4348,ä,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä,1372.5,1938.75
1535970302804,104,1,12,4899, ,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä ,794.1797,2436.25
1535970303671,104,1,12,5766,v,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä v,735.1172,2178.125
1535970304121,104,1,12,6216,a,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä va,101.953125,1971.25
1535970304635,104,1,12,6730,l,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä val,1140.4688,1991.875
1535970304876,104,1,12,6971,i,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä vali,974.1797,1721.25
1535970305244,104,1,12,7339,t,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä valit,571.9922,1725.0
1535970305600,104,1,12,7695,s,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä valits,201.79688000000002,1985.0
1535970306093,104,1,12,8188,i,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä valitsi,994.21875,1735.0
1535970306472,104,1,12,8567,t,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä valitsit,576.91406,1730.0
1535970312651,104,1,53,0,s,qwertyuiopåasdfghjklöäzxcvbnm,s,198.98438000000002,1976.875
1535970312980,104,1,53,329,e,qwertyuiopåasdfghjklöäzxcvbnm,se,337.14844,1743.75
1535970313457,104,1,53,806, ,qwertyuiopåasdfghjklöäzxcvbnm,se ,749.1797,2410.0
1535970313826,104,1,53,1175,t,qwertyuiopåasdfghjklöäzxcvbnm,se t,576.21094,1720.0
1535970314248,104,1,53,1597,u,qwertyuiopåasdfghjklöäzxcvbnm,se tu,837.0703,1753.75
1535970314801,104,1,53,2150,l,qwertyuiopåasdfghjklöäzxcvbnm,se tul,1112.3438,1951.875
1535970315065,104,1,53,2414,i,qwertyuiopåasdfghjklöäzxcvbnm,se tuli,991.40625,1716.25
1535970315703,104,1,53,3052, ,qwertyuiopåasdfghjklöäzxcvbnm,se tuli ,859.21875,2411.25
1535970316228,104,1,53,3577,t,qwertyuiopåasdfghjklöäzxcvbnm,se tuli t,601.1719,1748.125
1535970316785,104,1,53,4134,a,qwertyuiopåasdfghjklöäzxcvbnm,se tuli ta,99.84375,2003.75
1535970317233,104,1,53,4582,r,qwertyuiopåasdfghjklöäzxcvbnm,se tuli tar,454.92188,1796.875
1535970317874,104,1,53,5223,p,qwertyuiopåasdfghjklöäzxcvbnm,se tuli tarp,1208.3203,1723.125
1535970318396,104,1,53,5745,e,qwertyuiopåasdfghjklöäzxcvbnm,se tuli tarpe,304.8047,1733.125
1535970318580,104,1,53,5929,e,qwertyuiopåasdfghjklöäzxcvbnm,se tuli tarpee,316.0547,1721.25
1535970318844,104,1,53,6193,s,qwertyuiopåasdfghjklöäzxcvbnm,se tuli tarpees,185.97656,2035.0
1535970319108,104,1,53,6457,e,qwertyuiopåasdfghjklöäzxcvbnm,se tuli tarpeese,352.96875,1796.25
1535970319291,104,1,53,6640,e,qwertyuiopåasdfghjklöäzxcvbnm,se tuli tarpeesee,350.85938,1756.875
1535970319965,104,1,53,7314,n,qwertyuiopåasdfghjklöäzxcvbnm,se tuli tarpeeseen,967.14844,2178.75
1535970326618,104,1,18,0,k,qwertyuiopåasdfghjklöäzxcvbnm,k,1003.3594,1988.75
1535970326937,104,1,18,319,u,qwertyuiopåasdfghjklöäzxcvbnm,ku,826.1719,1791.875
1535970327224,104,1,18,606,i,qwertyuiopåasdfghjklöäzxcvbnm,kui,943.2422,1736.875
1535970327603,104,1,18,985,n,qwertyuiopåasdfghjklöäzxcvbnm,kuin,997.3828,2231.875
1535970327833,104,1,18,1215,k,qwertyuiopåasdfghjklöäzxcvbnm,kuink,946.40625,1971.875
1535970328346,104,1,18,1728,a,qwertyuiopåasdfghjklöäzxcvbnm,kuinka,93.86719000000001,2005.0
1535970328933,104,1,18,2315, ,qwertyuiopåasdfghjklöäzxcvbnm,kuinka ,790.3125,2423.125
