systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1536128522881,109,1,57,0,o,qwertyuiopåasdfghjklöäzxcvbnm,o,1084.2188,1783.125
1536128523085,109,1,57,204,l,qwertyuiopåasdfghjklöäzxcvbnm,ol,1106.3672,2093.125
1536128523453,109,1,57,572,e,qwertyuiopåasdfghjklöäzxcvbnm,ole,345.9375,1783.125
1536128524135,109,1,57,1254,n,qwertyuiopåasdfghjklöäzxcvbnm,olen,958.3594,2211.25
1536128524326,109,1,57,1445, ,qwertyuiopåasdfghjklöäzxcvbnm,olen ,858.16406,2433.75
1536128524602,109,1,57,1721,h,qwertyuiopåasdfghjklöäzxcvbnm,olen h,742.14844,2058.75
1536128524808,109,1,57,1927,y,qwertyuiopåasdfghjklöäzxcvbnm,olen hy,735.1172,1761.25
1536128525014,109,1,57,2133,v,qwertyuiopåasdfghjklöäzxcvbnm,olen hyv,700.3125,2173.125
1536128525221,109,1,57,2340,i,qwertyuiopåasdfghjklöäzxcvbnm,olen hyvi,941.1328,1771.875
1536128525427,109,1,57,2546,b,qwertyuiopåasdfghjklöäzxcvbnm,olen hyvib,911.25,2221.25
1536128525668,109,1,57,2787, ,qwertyuiopåasdfghjklöäzxcvbnm,olen hyvib ,959.41406,2490.0
1536128526531,109,1,57,3650,B,qwertyuiopåasdfghjklöäzxcvbnm,olen hyvib,1328.5547,2313.125
1536128526679,109,1,57,3798,B,qwertyuiopåasdfghjklöäzxcvbnm,olen hyvi,1337.3438,2263.75
1536128527272,109,1,57,4391,n,qwertyuiopåasdfghjklöäzxcvbnm,olen hyvin,1000.1953,2213.75
1536128527442,109,1,57,4561, ,qwertyuiopåasdfghjklöäzxcvbnm,olen hyvin ,918.28125,2458.125
1536128527648,109,1,57,4767,v,qwertyuiopåasdfghjklöäzxcvbnm,olen hyvin v,736.1719,2206.25
1536128527958,109,1,57,5077,ä,qwertyuiopåasdfghjklöäzxcvbnm,olen hyvin vä,1381.2891,1951.25
1536128528522,109,1,57,5641,s,qwertyuiopåasdfghjklöäzxcvbnm,olen hyvin väs,258.04688,1961.875
1536128528821,109,1,57,5940,u,qwertyuiopåasdfghjklöäzxcvbnm,olen hyvin väsu,792.0703,1751.25
1536128529391,109,1,57,6510,n,qwertyuiopåasdfghjklöäzxcvbnm,olen hyvin väsun,989.2969,2248.75
1536128529632,109,1,57,6751,y,qwertyuiopåasdfghjklöäzxcvbnm,olen hyvin väsuny,757.2656,1823.75
1536128529896,109,1,57,7015,t,qwertyuiopåasdfghjklöäzxcvbnm,olen hyvin väsunyt,645.1172,1778.125
1536128530453,109,1,57,7572,B,qwertyuiopåasdfghjklöäzxcvbnm,olen hyvin väsuny,1312.3828,2215.0
