systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1536321150101,118,1,12,0,m,qwertyuiopåasdfghjklöäzxcvbnm,m,1120.4297,2193.75
1536321150408,118,1,12,307,i,qwertyuiopåasdfghjklöäzxcvbnm,mi,983.3203,1716.25
1536321150614,118,1,12,513,n,qwertyuiopåasdfghjklöäzxcvbnm,min,1025.1562,2153.125
1536321150798,118,1,12,697,k,qwertyuiopåasdfghjklöäzxcvbnm,mink,1016.3672,1948.75
1536321151015,118,1,12,914,ä,qwertyuiopåasdfghjklöäzxcvbnm,minkä,1387.6172,1926.875
1536321151441,118,1,12,1340,b,qwertyuiopåasdfghjklöäzxcvbnm,minkäb,901.0547,2328.75
1536321151739,118,1,12,1638,k,qwertyuiopåasdfghjklöäzxcvbnm,minkäbk,1034.2969,2088.75
1536321152106,118,1,12,2005,i,qwertyuiopåasdfghjklöäzxcvbnm,minkäbki,999.1406,1665.0
1536321152580,118,1,12,2479,B,qwertyuiopåasdfghjklöäzxcvbnm,minkäbk,1323.2812,2166.875
1536321152753,118,1,12,2652,B,qwertyuiopåasdfghjklöäzxcvbnm,minkäb,1307.4609,2120.0
1536321152913,118,1,12,2812,B,qwertyuiopåasdfghjklöäzxcvbnm,minkä,1306.4062,2153.75
1536321153252,118,1,12,3151, ,qwertyuiopåasdfghjklöäzxcvbnm,minkä ,789.2578,2356.875
1536321153585,118,1,12,3484,n,qwertyuiopåasdfghjklöäzxcvbnm,minkä n,1015.3125,2203.75
1536321153919,118,1,12,3818,i,qwertyuiopåasdfghjklöäzxcvbnm,minkä ni,982.2656,1768.125
1536321154079,118,1,12,3978,i,qwertyuiopåasdfghjklöäzxcvbnm,minkä nii,969.2578,1781.25
1536321154475,118,1,12,4374,s,qwertyuiopåasdfghjklöäzxcvbnm,minkä niis,200.74219,2006.25
1536321154774,118,1,12,4673,t,qwertyuiopåasdfghjklöäzxcvbnm,minkä niist,606.09375,1756.25
1536321155084,118,1,12,4983,ä,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä,1417.5,2006.25
1536321155810,118,1,12,5709, ,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä ,777.3047,2463.75
1536321156741,118,1,12,6640,v,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä v,740.03906,2198.75
1536321157151,118,1,12,7050,a,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä va,95.97655999999999,1961.875
1536321157516,118,1,12,7415,l,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä val,1129.2188,1935.0
1536321157700,118,1,12,7599,i,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä vali,989.2969,1803.125
1536321157953,118,1,12,7852,t,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä valit,583.2422,1776.875
1536321158193,118,1,12,8092,s,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä valits,180.0,1963.125
1536321158481,118,1,12,8380,i,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä valitsi,992.1094,1781.875
1536321158721,118,1,12,8620,t,qwertyuiopåasdfghjklöäzxcvbnm,minkä niistä valitsit,583.2422,1746.875
1536321164690,118,1,18,0,k,qwertyuiopåasdfghjklöäzxcvbnm,k,1015.3125,1978.125
1536321164904,118,1,18,214,u,qwertyuiopåasdfghjklöäzxcvbnm,ku,824.0625,1766.875
1536321165065,118,1,18,375,i,qwertyuiopåasdfghjklöäzxcvbnm,kui,999.1406,1711.25
1536321165271,118,1,18,581,n,qwertyuiopåasdfghjklöäzxcvbnm,kuin,1019.1797,2246.875
1536321165443,118,1,18,753,k,qwertyuiopåasdfghjklöäzxcvbnm,kuink,989.2969,2011.25
1536321165807,118,1,18,1117,a,qwertyuiopåasdfghjklöäzxcvbnm,kuinka,103.00780999999999,1970.0
1536321166183,118,1,18,1493, ,qwertyuiopåasdfghjklöäzxcvbnm,kuinka ,733.0078,2406.875
1536321166469,118,1,18,1779,h,qwertyuiopåasdfghjklöäzxcvbnm,kuinka h,746.0156,1978.75
1536321166780,118,1,18,2090,ä,qwertyuiopåasdfghjklöäzxcvbnm,kuinka hä,1394.2969,1956.25
1536321167113,118,1,18,2423,n,qwertyuiopåasdfghjklöäzxcvbnm,kuinka hän,1003.3594,2216.875
1536321167296,118,1,18,2606, ,qwertyuiopåasdfghjklöäzxcvbnm,kuinka hän ,856.0547,2441.875
1536321167606,118,1,18,2916,p,qwertyuiopåasdfghjklöäzxcvbnm,kuinka hän p,1212.5391,1743.75
1536321167812,118,1,18,3122,ä,qwertyuiopåasdfghjklöäzxcvbnm,kuinka hän pä,1358.4375,2005.0
1536321168221,118,1,18,3531,r,qwertyuiopåasdfghjklöäzxcvbnm,kuinka hän pär,442.96875,1716.25
1536321168532,118,1,18,3842,k,qwertyuiopåasdfghjklöäzxcvbnm,kuinka hän pärk,967.14844,1931.25
