systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1536733961237,127,1,50,0,o,qwertyuiopåasdfghjklöäzxcvbnm,o,1106.3672,1740.0
1536733961554,127,1,50,317,l,qwertyuiopåasdfghjklöäzxcvbnm,ol,1112.3438,1928.125
1536733962065,127,1,50,828,e,qwertyuiopåasdfghjklöäzxcvbnm,ole,350.85938,1736.25
1536733962624,127,1,50,1387,n,qwertyuiopåasdfghjklöäzxcvbnm,olen,987.1875,2183.75
1536733963033,127,1,50,1796, ,qwertyuiopåasdfghjklöäzxcvbnm,olen ,792.0703,2430.0
1536733963562,127,1,50,2325,s,qwertyuiopåasdfghjklöäzxcvbnm,olen s,149.76561999999998,1985.0
1536733964098,127,1,50,2861,o,qwertyuiopåasdfghjklöäzxcvbnm,olen so,1112.3438,1690.0
1536733964351,127,1,50,3114,p,qwertyuiopåasdfghjklöäzxcvbnm,olen sop,1231.5234,1713.125
1536733964933,127,1,50,3696,i,qwertyuiopåasdfghjklöäzxcvbnm,olen sopi,960.1172,1728.75
1536733965419,127,1,50,4182,n,qwertyuiopåasdfghjklöäzxcvbnm,olen sopin,951.3281,2176.25
1536733965811,127,1,50,4574,u,qwertyuiopåasdfghjklöäzxcvbnm,olen sopinu,838.125,1715.0
1536733966222,127,1,50,4985,t,qwertyuiopåasdfghjklöäzxcvbnm,olen sopinut,639.1406,1690.0
1536733966590,127,1,50,5353, ,qwertyuiopåasdfghjklöäzxcvbnm,olen sopinut ,802.2656,2476.25
1536733966900,127,1,50,5663,j,qwertyuiopåasdfghjklöäzxcvbnm,olen sopinut j,835.3125,1996.25
1536733967177,127,1,50,5940,o,qwertyuiopåasdfghjklöäzxcvbnm,olen sopinut jo,1065.2344,1751.875
1536733967769,127,1,50,6532, ,qwertyuiopåasdfghjklöäzxcvbnm,olen sopinut jo ,717.1875,2458.125
1536733968202,127,1,50,6965,a,qwertyuiopåasdfghjklöäzxcvbnm,olen sopinut jo a,42.890625,1971.25
1536733968455,127,1,50,7218,s,qwertyuiopåasdfghjklöäzxcvbnm,olen sopinut jo as,220.07812,1935.0
1536733968823,127,1,50,7586,i,qwertyuiopåasdfghjklöäzxcvbnm,olen sopinut jo asi,943.2422,1725.0
1536733969367,127,1,50,8130,a,qwertyuiopåasdfghjklöäzxcvbnm,olen sopinut jo asia,59.765625,1933.75
1536733969880,127,1,50,8643,n,qwertyuiopåasdfghjklöäzxcvbnm,olen sopinut jo asian,956.25,2181.25
