systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1536236013344,115,1,5,0,k,qwertyuiopåasdfghjklöäzxcvbnm,k,962.22656,1988.75
1536236013734,115,1,5,390,i,qwertyuiopåasdfghjklöäzxcvbnm,ki,1027.2656,1776.875
1536236013935,115,1,5,591,i,qwertyuiopåasdfghjklöäzxcvbnm,kii,985.4297,1770.0
1536236014219,115,1,5,875,t,qwertyuiopåasdfghjklöäzxcvbnm,kiit,616.9922,1786.875
1536236014670,115,1,5,1326,o,qwertyuiopåasdfghjklöäzxcvbnm,kiito,1134.4922,1796.875
1536236015204,115,1,5,1860,s,qwertyuiopåasdfghjklöäzxcvbnm,kiitos,241.875,2023.125
1536236015830,115,1,5,2486, ,qwertyuiopåasdfghjklöäzxcvbnm,kiitos ,880.3125,2461.25
1536236016180,115,1,5,2836,v,qwertyuiopåasdfghjklöäzxcvbnm,kiitos v,745.3125,2255.0
1536236016681,115,1,5,3337,a,qwertyuiopåasdfghjklöäzxcvbnm,kiitos va,98.78905999999999,2006.25
1536236016929,115,1,5,3585,s,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vas,242.92969,2041.875
1536236017372,115,1,5,4028,t,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vast,606.09375,1798.125
1536236017835,115,1,5,4491,s,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vasts,133.94531,2015.0
1536236018296,115,1,5,4952,u,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastsu,855.35156,1765.0
1536236018533,115,1,5,5189,k,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastsuk,1009.33594,1976.25
1536236019047,115,1,5,5703,s,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastsuks,233.78906,1995.0
1536236019261,115,1,5,5917,e,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastsukse,328.0078,1798.125
1536236019509,115,1,5,6165,s,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastsukses,233.78906,2070.0
1536236019888,115,1,5,6544,t,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastsuksest,614.1797,1781.875
1536236020385,115,1,5,7041,s,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastsuksests,177.89061999999998,2001.25
1536236021436,115,1,5,8092,B,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastsuksest,1335.5859,2243.75
1536236021588,115,1,5,8244,B,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastsukses,1294.4531,2176.25
1536236021730,115,1,5,8386,B,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastsukse,1309.5703,2168.75
1536236021931,115,1,5,8587,B,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastsuks,1312.3828,2206.25
1536236022062,115,1,5,8718,B,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastsuk,1303.2422,2196.25
1536236022204,115,1,5,8860,B,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastsu,1314.4922,2175.0
1536236022370,115,1,5,9026,B,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vasts,1318.3594,2183.125
1536236022701,115,1,5,9357,B,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vast,1333.4766,2200.0
1536236023360,115,1,5,10016,a,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vasta,106.875,2011.25
1536236023830,115,1,5,10486,u,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastau,828.28125,1773.125
1536236024126,115,1,5,10782,k,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastauk,988.2422,1995.0
1536236024650,115,1,5,11306,s,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastauks,203.90625,2005.0
1536236024958,115,1,5,11614,e,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastaukse,358.9453,1793.75
1536236025290,115,1,5,11946,s,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastaukses,226.75781,2048.75
1536236025710,115,1,5,12366,t,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastauksest,585.0,1795.0
1536236026144,115,1,5,12800,a,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastauksesta,103.00780999999999,2021.875
1536236026488,115,1,5,13144,s,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastauksestas,258.04688,2036.875
1536236027136,115,1,5,13792,i,qwertyuiopåasdfghjklöäzxcvbnm,kiitos vastauksestasi,1020.2344,1808.125
1536236041907,115,1,52,0,p,qwertyuiopåasdfghjklöäzxcvbnm,p,1253.3203,1773.125
1536236042324,115,1,52,417,i,qwertyuiopåasdfghjklöäzxcvbnm,pi,973.125,1795.0
1536236042859,115,1,52,952,t,qwertyuiopåasdfghjklöäzxcvbnm,pit,608.2031,1755.0
1536236043507,115,1,52,1600,ä,qwertyuiopåasdfghjklöäzxcvbnm,pitä,1369.3359,2011.25
1536236043693,115,1,52,1786,ä,qwertyuiopåasdfghjklöäzxcvbnm,pitää,1372.5,1988.125
1536236044049,115,1,52,2142,k,qwertyuiopåasdfghjklöäzxcvbnm,pitääk,989.2969,2026.25
1536236044356,115,1,52,2449,ö,qwertyuiopåasdfghjklöäzxcvbnm,pitääkö,1245.2344,1993.75
1536236044792,115,1,52,2885, ,qwertyuiopåasdfghjklöäzxcvbnm,pitääkö ,842.34375,2421.875
1536236045183,115,1,52,3276,m,qwertyuiopåasdfghjklöäzxcvbnm,pitääkö m,1104.2578,2263.125
1536236045946,115,1,52,4039,e,qwertyuiopåasdfghjklöäzxcvbnm,pitääkö me,350.85938,1796.875
1536236046446,115,1,52,4539,i,qwertyuiopåasdfghjklöäzxcvbnm,pitääkö mei,993.16406,1798.75
1536236046901,115,1,52,4994,d,qwertyuiopåasdfghjklöäzxcvbnm,pitääkö meid,358.9453,1991.875
1536236047595,115,1,52,5688,ä,qwertyuiopåasdfghjklöäzxcvbnm,pitääkö meidä,1344.375,2020.0
1536236048054,115,1,52,6147,n,qwertyuiopåasdfghjklöäzxcvbnm,pitääkö meidän,1010.3906,2263.125
1536236048455,115,1,52,6548, ,qwertyuiopåasdfghjklöäzxcvbnm,pitääkö meidän ,844.10156,2431.25
1536236048946,115,1,52,7039,j,qwertyuiopåasdfghjklöäzxcvbnm,pitääkö meidän j,837.0703,2011.25
1536236049194,115,1,52,7287,u,qwertyuiopåasdfghjklöäzxcvbnm,pitääkö meidän ju,805.0781,1813.75
1536236049502,115,1,52,7595,t,qwertyuiopåasdfghjklöäzxcvbnm,pitääkö meidän jut,589.21875,1815.0
