systime,id,block,sentence_n,trialtime,event,layout,message,touchx,touchy
1536056636269,106,1,42,0,m,qwertyuiopåasdfghjklöäzxcvbnm,m,1161.2109,2220.0
1536056636698,106,1,42,429,o,qwertyuiopåasdfghjklöäzxcvbnm,mo,1072.2656,1753.75
1536056637060,106,1,42,791,t,qwertyuiopåasdfghjklöäzxcvbnm,mot,624.02344,1723.125
1536056637497,106,1,42,1228,ä,qwertyuiopåasdfghjklöäzxcvbnm,motä,1369.3359,1978.125
1536056638221,106,1,42,1952,B,qwertyuiopåasdfghjklöäzxcvbnm,mot,1367.5781,2246.875
1536056638378,106,1,42,2109,B,qwertyuiopåasdfghjklöäzxcvbnm,mo,1327.5,2236.25
1536056639233,106,1,42,2964,i,qwertyuiopåasdfghjklöäzxcvbnm,mi,993.16406,1818.125
1536056639563,106,1,42,3294,t,qwertyuiopåasdfghjklöäzxcvbnm,mit,647.22656,1716.25
1536056640312,106,1,42,4043,ä,qwertyuiopåasdfghjklöäzxcvbnm,mitä,1333.4766,1988.75
1536056640895,106,1,42,4626, ,qwertyuiopåasdfghjklöäzxcvbnm,mitä ,776.25,2446.875
1536056641273,106,1,42,5004,r,qwertyuiopåasdfghjklöäzxcvbnm,mitä r,425.03905999999995,1738.125
1536056641744,106,1,42,5475,r,qwertyuiopåasdfghjklöäzxcvbnm,mitä rr,444.02344000000005,1760.0
1536056642427,106,1,42,6158,B,qwertyuiopåasdfghjklöäzxcvbnm,mitä r,1320.4688,2205.0
1536056643235,106,1,42,6966,B,qwertyuiopåasdfghjklöäzxcvbnm,mitä ,1331.3672,2263.75
1536056643997,106,1,42,7728,e,qwertyuiopåasdfghjklöäzxcvbnm,mitä e,296.01562,1751.875
1536056644339,106,1,42,8070,r,qwertyuiopåasdfghjklöäzxcvbnm,mitä er,425.03905999999995,1771.25
1536056645345,106,1,42,9076,o,qwertyuiopåasdfghjklöäzxcvbnm,mitä ero,1107.4219,1803.125
